Station Name,Waterway,Year,Phosphorous_Average,Phosphorous_Min,Phosphorous_Max,x,y,NO2_NO3_Average,NO2_NO3_Min,NO2_NO3_Max,Fecal_Coliform_Average,Fecal_Coliform_Min,Fecal_Coliform_Max,Chlorophyll-A_Average,Chlorophyll-A_Min,Chlorophyll-A_Max,NH3_Average,NH3_Min,NH3_Max,Chloride_Average,Chloride_Min,Chloride_Max,TKN_Average,TKN_Min,TKN_Max,Total_Dissolved_Solids_Average,Total_Dissolved_Solids_Min,Total_Dissolved_Solids_Max,SO4_Average,SO4_Min,SO4_Max,Suspended_Solids_Average,Suspended_Solids_Min,Suspended_Solids_Max,TOC_Average,TOC_Min,TOC_Max
Elmhurst Road,Higgins Creek,2010,0.09,0.09,0.09,-9789503.463971144,5164194.269628853,0.35,0.35,0.35,210.0,210.0,210.0,28.0,28,28.0,0.07,0.07,0.07,583.0,583,583.0,1,1,1,1162.0,1162.0,1162.0,39.0,39,39.0,21,21,21,4,4,4
Ewing Avenue,Calumet River,2010,0.07,0.05,0.11,-9745075.86152176,5120263.120285954,0.3,0.21,0.41,10.0,9.0,130.0,1.0,1,1.0,0.08,0.04,0.13,25.0,10,88.0,0,&lt RL,0,224.0,152.0,278.0,25.0,23,28.0,5,1,9,5,2,17
Foster Avenue,North Shore Channel,2010,1.21,0.79,1.74,-9763248.504184216,5157380.484896455,7.76,4.74,10.18,5350.0,2200.0,13000.0,2.0,1,4.0,1.06,0.55,2.0,141.0,64,575.0,2,1,4,559.0,274.0,1206.0,43.0,29,59.0,8,4,14,6,4,14
Frontage Road,Skokie River,2010,1.05,0.26,2.38,-9769467.187323028,5174142.560835846,7.07,4.47,13.45,50.0,30.0,2400.0,10.0,1,21.0,0.1,0.02,0.26,188.0,130,483.0,1,1,1,699.0,504.0,1304.0,54.0,42,73.0,14,6,20,5,4,5
Glenview Road,North Branch Chicago River,2010,0.87,0.3,1.91,-9770990.71844705,5171319.185344051,5.88,2.96,10.96,160.0,30.0,3900.0,7.0,1,14.0,0.09,&lt RL,0.18,272.0,116,529.0,1,1,1,770.0,452.0,1398.0,54.0,39,72.0,11,4,17,5,3,6
Golf Road,West Fork North Branch Chicago River,2010,0.52,0.26,1.42,-9771841.694236573,5169273.313312094,3.72,1.87,10.76,500.0,40.0,3800.0,14.0,2,47.0,0.19,0.05,0.54,244.0,161,915.0,1,1,2,1036.0,562.0,2126.0,58.0,42,87.0,17,4,34,5,3,6
Grand Avenue,North Branch Chicago River,2010,0.95,0.32,1.73,-9756156.248665707,5144758.297382973,6.66,3.48,9.69,855.0,180.0,32000.0,3.0,1,5.0,1.02,0.33,4.35,139.0,74,357.0,2,1,5,584.0,352.0,998.0,44.0,35,63.0,11,6,19,5,3,7
Halsted Street,Little Calumet River,2010,2.01,0.66,4.66,-9756147.689317685,5109826.122291395,5.38,1.84,9.7,1550.0,430.0,20000.0,4.0,0,10.0,0.37,0.14,0.71,138.0,56,335.0,1,1,2,579.0,318.0,844.0,75.0,41,100.0,8,4,14,5,3,7
Harlem Avenue,Chicago Sanitary and Ship Canal,2010,0.79,0.32,1.59,-9774026.337077957,5131234.839862472,8.12,4.56,13.81,2000.0,410.0,4700.0,4.0,1,11.0,0.52,0.21,0.98,195.0,92,284.0,2,1,2,614.0,364.0,812.0,61.0,46,76.0,8,5,11,5,4,5
Higgins Road,Salt Creek,2010,0.13,0.09,0.24,-9797375.60963822,5165675.359292448,0.12,0,0.41,205.0,20.0,990.0,26.0,17,52.0,0.12,0.02,0.27,253.0,153,394.0,1,1,2,726.0,540.0,930.0,46.0,37,54.0,31,19,57,7,6,8
Indiana Avenue,Little Calumet River,2010,0.4,0.05,1.4,-9753472.18145782,5108772.571885121,1.12,0.17,3.81,50.0,9.0,2100.0,14.0,1,65.0,0.21,0.03,0.74,67.0,27,235.0,1,0,1,407.0,208.0,658.0,61.0,25,130.0,13,5,18,4,2,5
Joe Orr Road,Thorn Creek,2010,1.27,0.38,2.68,-9754419.852949658,5089457.720876058,7.39,2.37,16.93,900.0,150.0,21000.0,5.0,1,10.0,0.18,0.07,0.55,144.0,91,678.0,1,1,2,1356.0,746.0,2276.0,510.0,167,885.0,27,5,76,6,3,8
Lake Shore Drive,Chicago River,2010,0.19,0.02,0.6,-9753112.184339533,5144283.186382862,1.28,0.16,4.66,20.0,9.0,230.0,1.0,1,3.0,0.17,0.03,0.57,19.0,11,308.0,0,&lt RL,1,309.0,158.0,724.0,26.0,20,35.0,3,1,5,3,2,6
Lake Street,West Branch Du Page River,2010,1.15,0.57,1.73,-9810939.89297938,5157781.364521299,6.82,3.43,10.35,690.0,130.0,10000.0,16.0,4,37.0,0.75,0.15,2.32,257.0,144,790.0,2,1,4,912.0,560.0,1714.0,59.0,43,77.0,27,17,35,6,4,7
Lake-Cook Road,Skokie River,2010,0.14,0.07,0.22,-9773171.65434657,5183881.030230567,0.35,0.13,0.58,320.0,60.0,46000.0,7.0,1,15.0,0.11,&lt RL,0.2,190.0,72,677.0,1,1,1,767.0,300.0,1626.0,51.0,23,74.0,13,4,45,6,3,9
Lake-Cook Road,Middle Fork North Branch Chicago River,2010,0.15,0.06,0.26,-9775428.966959778,5183330.473761027,0.18,0.03,0.48,500.0,40.0,20000.0,5.0,1,17.0,0.1,&lt RL,0.22,220.0,156,665.0,1,1,1,834.0,504.0,1590.0,47.0,25,69.0,12,3,33,7,3,9
Lake-Cook Road,Des Plaines River,2010,0.79,0.24,2.15,-9786103.272410415,5183885.200209065,6.45,1.63,13.49,200.0,120.0,760.0,12.0,0,39.0,0.09,0.04,0.12,164.0,108,379.0,1,1,1,670.0,490.0,1020.0,59.0,38,76.0,17,7,42,6,4,7
Lake-Cook Road,Buffalo Creek,2010,0.12,0.07,0.24,-9792683.493154095,5183751.728609537,0.36,0.08,0.91,250.0,10.0,440.0,14.0,3,28.0,0.11,0.02,0.17,291.0,104,814.0,1,1,2,891.0,392.0,1848.0,77.0,42,110.0,28,11,49,6,3,8
Lockport Powerhouse,Chicago Sanitary and Ship Canal,2010,1.12,0.34,2.18,-9804834.0167114,5096870.642820761,5.91,2.24,11.54,90.0,9.0,4500.0,5.0,0,32.0,0.57,0.14,1.73,123.0,88,554.0,1,1,3,658.0,294.0,1718.0,82.0,51,118.0,10,4,44,5,4,7
Loomis Street,South Branch Chicago River,2010,0.66,0.24,1.35,-9758326.630046986,5137947.951214144,5.12,3.06,8.47,290.0,9.0,2300.0,2.0,1,5.0,0.58,0.26,0.84,148.0,60,457.0,1,1,2,580.0,332.0,1020.0,41.0,33,50.0,11,4,21,4,2,5
Madison Street,South Branch Chicago River,2010,0.67,0.2,1.17,-9755836.894673718,5143332.001117509,5.05,2.48,9.42,390.0,9.0,2000.0,4.0,1,18.0,0.53,0.3,0.87,114.0,57,525.0,1,1,2,522.0,286.0,1184.0,40.0,30,51.0,10,5,16,4,3,6
Material Service Road,Des Plaines River,2010,0.68,0.3,1.34,-9803757.593335949,5100729.017568359,4.78,1.82,8.46,60.0,10.0,340.0,26.0,2,86.0,0.06,0.01,0.13,174.0,97,859.0,1,1,2,739.0,420.0,1844.0,67.0,37,90.0,23,7,53,5,3,7
Oakton Street,North Shore Channel,2010,0.54,0.03,1.76,-9763838.713194087,5164984.791142569,3.28,0.18,8.99,1400.0,30.0,6800.0,17.0,1,96.0,0.61,0.06,1.82,84.0,1,287.0,1,&lt RL,3,403.0,160.0,828.0,37.0,20,63.0,21,4,61,4,2,9
Oakton Street,Des Plaines River,2010,0.8,0.25,1.99,-9782189.77125312,5164756.208222484,6.08,1.3,12.74,220.0,9.0,1100.0,14.0,0,53.0,0.09,0.03,0.16,171.0,107,502.0,1,1,1,721.0,460.0,1246.0,60.0,37,76.0,17,2,43,6,4,8
Ogden Avenue,Des Plaines River,2010,0.79,0.34,1.68,-9775033.160497827,5134155.08934849,5.52,1.47,9.93,390.0,100.0,1200.0,12.0,1,52.0,0.13,0.04,0.53,190.0,106,697.0,1,1,1,750.0,442.0,1610.0,64.0,37,90.0,21,4,60,5,3,7
Roosevelt Road,Des Plaines River,2010,0.73,0.28,1.56,-9776892.815460142,5140724.864266957,5.65,1.55,10.47,300.0,140.0,650.0,13.0,1,42.0,0.1,0.04,0.23,171.0,105,621.0,1,1,2,725.0,442.0,1488.0,61.0,36,82.0,22,4,52,6,4,7
Route 19,Poplar Creek,2010,0.12,0.03,0.28,-9823047.74711789,5165577.94301833,0.28,0.02,0.66,105.0,9.0,870.0,10.0,1,19.0,0.12,0.01,0.36,188.0,135,761.0,1,1,1,799.0,530.0,1688.0,42.0,27,65.0,18,5,48,6,4,8
Route 83,Calumet-Sag Channel,2010,1.82,0.42,2.93,-9789029.93158179,5115601.921870255,4.9,1.22,10.93,100.0,9.0,6400.0,5.0,1,10.0,0.41,0.22,0.68,122.0,65,447.0,1,1,2,665.0,362.0,1166.0,104.0,48,157.0,14,6,28,5,3,7
Route 83,Chicago Sanitary and Ship Canal,2010,0.84,0.27,1.94,-9789421.360370245,5116449.74955103,6.1,3.65,10.41,680.0,50.0,5900.0,5.0,1,23.0,0.8,0.24,2.88,128.0,89,509.0,2,1,4,629.0,408.0,1178.0,65.0,46,81.0,7,3,12,5,4,6
Springinsguth Rd.,West Branch Du Page River,2010,0.19,0.1,0.26,-9809372.143319122,5162219.006850576,0.36,0.04,0.78,1600.0,340.0,7500.0,17.0,0,59.0,0.31,0.11,1.03,221.0,133,395.0,2,1,2,752.0,516.0,984.0,48.0,24,65.0,11,3,25,12,9,15
Stephen Street,Des Plaines River,2010,0.71,0.33,1.35,-9796385.089554068,5113414.579669373,5.01,1.77,8.68,140.0,20.0,2900.0,17.0,2,49.0,0.09,0.02,0.15,179.0,102,813.0,1,1,2,727.0,482.0,1808.0,65.0,38,87.0,24,5,56,5,4,6
Stephen Street,Chicago Sanitary and Ship Canal,2010,1.01,0.3,2.36,-9796052.154215598,5113077.68374999,5.83,3.06,9.26,230.0,40.0,770.0,5.0,1,16.0,0.54,0.24,1.03,137.0,86,537.0,2,1,3,656.0,396.0,1268.0,76.0,48,100.0,9,4,15,5,4,7
Touhy Avenue,North Shore Channel,2010,1.15,0.65,2.07,-9763880.193364626,5162772.158302309,6.53,4.25,8.52,5000.0,2800.0,12000.0,2.0,0,10.0,0.83,0.13,2.04,104.0,61,504.0,2,1,5,527.0,296.0,1092.0,42.0,30,57.0,7,4,16,5,4,7
Walnut Street,West Branch Du Page River,2010,2.31,1.12,3.42,-9811290.549648687,5160344.011074602,11.83,5.97,18.17,940.0,40.0,13000.0,5.0,1,18.0,0.16,0.03,0.84,139.0,84,458.0,2,1,3,633.0,464.0,1090.0,58.0,51,71.0,20,1,109,7,5,8
Wells Street,Chicago River,2010,0.37,0.08,1.08,-9755339.676982597,5144145.544547021,2.83,0.37,8.47,225.0,10.0,1100.0,2.0,0,4.0,0.34,0.12,0.77,71.0,17,453.0,1,0,3,407.0,172.0,996.0,31.0,23,47.0,5,2,7,3,2,4
Wentworth Avenue,Little Calumet River,2010,0.57,0.31,1.26,-9743762.861862704,5099049.677060608,4.34,1.42,9.78,3900.0,680.0,9300.0,8.0,2,20.0,0.27,0.02,0.7,90.0,40,362.0,1,1,2,572.0,278.0,1102.0,89.0,&lt RL,134.0,74,18,287,8,4,10
Wille Road,Higgins Creek,2010,1.02,0.4,2.2,-9789066.534741784,5163778.873133089,7.9,4.18,12.17,450.0,9.0,4900.0,3.0,0,8.0,0.22,0.13,0.41,179.0,127,463.0,1,1,2,758.0,460.0,1260.0,78.0,41,97.0,4,2,13,5,4,6
Willow Springs Road,Des Plaines River,2010,0.73,0.31,1.44,-9782918.22214516,5121485.94585754,5.25,1.52,9.06,330.0,30.0,2600.0,13.0,1,45.0,0.12,0.03,0.38,170.0,104,747.0,1,0,1,739.0,444.0,1690.0,65.0,37,88.0,17,7,36,5,3,8
Wilson Avenue,North Branch Chicago River,2010,1.03,0.26,1.35,-9762427.895694705,5155720.021993471,7.12,4.01,10.03,5500.0,600.0,10000.0,3.0,1,7.0,0.81,0.25,1.32,173.0,69,584.0,2,1,3,676.0,346.0,1208.0,47.0,30,69.0,10,6,28,4,3,6
Wolf Road,Salt Creek,2010,1.17,0.46,2.44,-9785016.345950184,5134927.534095098,6.98,1.69,13.36,405.0,90.0,2300.0,9.0,1,23.0,0.19,0.09,0.41,311.0,121,796.0,2,1,9,853.0,488.0,1782.0,76.0,42,103.0,24,5,67,5,3,6
130th Street,Calumet River,2009,0.03,&lt RL,0.06,-9748530.69045206,5110104.230203494,0.55,0.19,1.04,9.0,9.0,10.0,6.0,2,15.0,0.13,0.04,0.29,68.0,25,199.0,1,0,1,387.0,154.0,628.0,62.0,27,109.0,8,3,16,3,2,4
170th Street,Thorn Creek,2009,1.14,0.43,1.74,-9748874.28283881,5099238.777878965,5.3,1.58,8.78,940.0,80.0,2000.0,9.0,5,16.0,0.15,0.06,0.31,141.0,123,295.0,1,1,1,943.0,578.0,1242.0,298.0,119,550.0,40,12,68,6,4,6
Albany Avenue,North Branch Chicago River,2009,0.55,0.16,1.08,-9764088.462110575,5156857.124687181,3.6,0.74,6.2,465.0,9.0,4400.0,7.0,1,24.0,0.12,0.02,0.36,230.0,148,510.0,1,0,1,751.0,404.0,1196.0,54.0,29,76.0,22,2,65,5,3,6
Archer Avenue,Bubbly Creek,2009,0.51,0.22,1.03,-9758696.948071493,5136817.240627698,3.32,0.17,6.85,220.0,30.0,33000.0,9.0,2,25.0,0.71,0.33,1.33,112.0,52,307.0,2,1,3,479.0,270.0,728.0,42.0,29,58.0,12,8,18,4,3,5
Arlington Heights Road,Salt Creek,2009,1.59,0.12,4.51,-9796254.99295483,5162818.28541295,7.72,0.17,17.2,220.0,20.0,760.0,14.0,2,36.0,0.06,&lt RL,0.12,202.0,123,440.0,1,1,2,708.0,458.0,996.0,63.0,46,75.0,14,6,32,5,4,7
Ashland Avenue,Calumet-Sag Channel,2009,1.41,0.38,3.8,-9758306.686186207,5109440.062465825,4.02,2.05,7.87,1400.0,480.0,4700.0,11.0,1,40.0,0.31,0.09,0.7,139.0,57,318.0,1,1,1,557.0,296.0,856.0,89.0,48,123.0,17,8,40,5,3,6
Ashland Avenue,Little Calumet River,2009,0.52,0.02,0.8,-9758345.734333793,5108959.791525536,3.22,1.39,4.78,380.0,140.0,4500.0,10.0,4,18.0,0.2,0.04,0.38,134.0,67,189.0,1,0,1,681.0,406.0,906.0,166.0,84,249.0,35,14,63,6,5,8
Belmont Avenue,Des Plaines River,2009,0.6,0.18,1.51,-9779371.53102385,5151588.097147647,4.27,1.65,8.45,240.0,50.0,2000.0,14.0,1,51.0,0.11,0.02,0.22,173.0,105,275.0,1,1,2,594.0,460.0,818.0,58.0,39,85.0,23,12,47,6,5,8
Brookfield Avenue,Salt Creek,2009,0.94,0.3,2.34,-9778479.118246686,5134478.740255858,5.18,1.88,10.35,560.0,160.0,3300.0,9.0,2,23.0,0.15,0.04,0.32,172.0,117,401.0,1,1,2,690.0,442.0,1012.0,70.0,51,85.0,25,12,58,5,4,6
Burnham Avenue ,Wolf Lake Drain,2009,0.02,&lt RL,0.05,-9744778.986089032,5110875.941051556,0.09,0.02,0.24,20.0,9.0,110.0,5.0,2,10.0,0.1,0.02,0.28,81.0,57,91.0,1,1,1,297.0,196.0,366.0,48.0,38,60.0,7,3,18,4,3,5
Burnham Avenue,Grand Calumet River,2009,0.34,0.24,0.48,-9744810.951107476,5105915.20396417,4.45,1.68,8.58,650.0,310.0,5900.0,31.0,3,137.0,1.01,0.59,1.89,148.0,131,173.0,2,2,4,768.0,702.0,824.0,146.0,102,175.0,14,3,37,7,6,9
Central Street,North Shore Channel,2009,0.12,0.02,0.35,-9761286.946422856,5170628.61713302,0.34,0.03,1.4,40.0,9.0,81000.0,10.0,1,74.0,0.19,0.01,0.99,18.0,12,133.0,0,&lt RL,2,258.0,114.0,476.0,27.0,20,55.0,10,3,28,3,2,6
Cicero Avenue,Chicago Sanitary and Ship Canal,2009,0.54,0.24,1.04,-9767527.508297496,5134013.305608013,3.95,1.62,7.07,170.0,20.0,1200.0,3.0,1,5.0,0.44,0.23,0.77,121.0,50,355.0,1,1,2,485.0,266.0,840.0,42.0,29,55.0,17,12,24,4,3,5
Cicero Avenue,Calumet-Sag Channel,2009,1.26,0.39,3.74,-9766975.298081215,5109491.834437173,3.52,1.78,5.21,300.0,60.0,2400.0,12.0,2,49.0,0.26,0.16,0.41,135.0,59,260.0,1,1,2,555.0,306.0,770.0,99.0,47,148.0,22,7,51,5,3,7
Damen Avenue,Chicago Sanitary and Ship Canal,2009,0.61,0.28,1.05,-9759974.102935707,5137287.498239143,4.56,2.35,7.3,470.0,40.0,1200.0,8.0,1,58.0,0.48,0.32,0.67,119.0,51,357.0,1,1,2,485.0,248.0,842.0,43.0,29,57.0,15,9,25,4,3,5
Dempster Street,North Branch Chicago River,2009,0.59,0.19,1.38,-9772519.197048591,5167261.607014383,3.43,0.69,7.77,580.0,190.0,10000.0,6.0,2,13.0,0.18,0.05,0.34,184.0,141,477.0,1,1,2,699.0,416.0,1150.0,52.0,32,72.0,21,5,95,5,4,6
Devon Avenue,Salt Creek,2009,1.56,0.43,4.47,-9795587.075606022,5159923.790866642,7.6,2.9,16.7,380.0,30.0,1200.0,15.0,2,47.0,0.07,0.01,0.19,168.0,118,435.0,1,1,1,687.0,346.0,1014.0,62.0,50,70.0,17,7,35,5,4,6
Diversey Parkway,North Branch Chicago River,2009,0.95,0.24,1.58,-9760793.273420712,5150867.342273781,6.69,1.44,9.34,3350.0,950.0,20000.0,2.0,1,5.0,0.31,0.13,0.69,161.0,78,1035.0,1,1,2,676.0,346.0,1994.0,48.0,32,67.0,14,5,48,4,3,5
Dundee Road,West Fork North Branch Chicago River,2009,1.28,0.24,2.97,-9777719.3660057,5181767.818476338,6.78,0.93,16.14,2400.0,480.0,9500.0,7.0,3,11.0,0.47,0.13,1.1,349.0,151,764.0,1,1,2,955.0,324.0,1552.0,47.0,20,65.0,33,14,78,5,4,6
Elmhurst Road,Higgins Creek,2009,0.08,0.05,0.14,-9789503.463971144,5164194.269628853,0.41,0.23,0.56,645.0,350.0,20000.0,8.0,1,16.0,0.17,0.04,0.35,292.0,107,530.0,1,0,2,703.0,286.0,1086.0,36.0,18,46.0,19,10,26,5,4,8
Ewing Avenue,Calumet River,2009,0.01,&lt RL,0.04,-9745075.86152176,5120263.120285954,0.33,0.23,0.45,10.0,10.0,20.0,2.0,0,6.0,0.06,0.03,0.11,31.0,14,75.0,0,&lt RL,1,229.0,156.0,318.0,27.0,22,31.0,5,1,8,2,2,2
Foster Avenue,North Shore Channel,2009,1.11,0.3,1.66,-9763248.504184216,5157380.484896455,7.44,3.26,11.13,5600.0,250.0,45000.0,2.0,0,9.0,0.49,0.05,1.2,174.0,47,681.0,1,1,3,591.0,258.0,1408.0,47.0,28,65.0,9,2,17,4,3,6
Frontage Road,Skokie River,2009,0.9,0.17,1.86,-9769467.187323028,5174142.560835846,5.15,1.09,8.83,120.0,9.0,7500.0,10.0,0,18.0,0.13,0.02,0.33,188.0,132,418.0,1,1,1,643.0,472.0,1108.0,55.0,39,72.0,21,8,40,4,4,5
Glenview Road,North Branch Chicago River,2009,0.69,0.17,1.49,-9770990.71844705,5171319.185344051,3.95,0.76,7.57,380.0,80.0,6600.0,6.0,1,13.0,0.15,0.05,0.39,185.0,132,422.0,1,1,1,676.0,468.0,1024.0,53.0,36,69.0,19,8,54,5,3,6
Golf Road,West Fork North Branch Chicago River,2009,0.41,0.18,0.55,-9771841.694236573,5169273.313312094,3.04,0.7,5.17,820.0,210.0,10000.0,8.0,2,22.0,0.26,0.09,0.39,261.0,127,693.0,1,1,1,833.0,358.0,1434.0,56.0,27,86.0,28,3,67,5,4,6
Grand Avenue,North Branch Chicago River,2009,0.83,0.34,1.35,-9756156.248665707,5144758.297382973,5.79,1.6,9.16,1000.0,430.0,34000.0,3.0,2,5.0,0.52,0.36,0.73,172.0,76,552.0,1,1,2,575.0,274.0,1168.0,46.0,32,70.0,17,5,45,4,3,5
Halsted Street,Little Calumet River,2009,1.49,0.62,3.99,-9756147.689317685,5109826.122291395,4.56,2.27,7.38,2800.0,670.0,5900.0,13.0,1,51.0,0.32,0.17,0.45,144.0,58,311.0,1,1,2,566.0,284.0,858.0,76.0,42,118.0,12,7,17,4,3,6
Harlem Avenue,Chicago Sanitary and Ship Canal,2009,0.71,0.18,1.51,-9774026.337077957,5131234.839862472,6.35,3.75,7.95,3450.0,280.0,110000.0,2.0,1,6.0,0.58,0.15,2.53,159.0,63,374.0,1,1,4,570.0,306.0,914.0,56.0,36,66.0,10,4,17,4,4,5
Higgins Road,Salt Creek,2009,0.35,0.07,2.02,-9797375.60963822,5165675.359292448,1.3,0.02,8.99,115.0,30.0,410.0,21.0,5,40.0,0.08,&lt RL,0.22,259.0,157,387.0,1,1,2,701.0,496.0,1000.0,62.0,42,73.0,24,8,33,6,4,7
Indiana Avenue,Little Calumet River,2009,0.1,0.01,0.21,-9753472.18145782,5108772.571885121,0.86,0.25,1.81,55.0,9.0,3200.0,27.0,2,99.0,0.33,0.08,0.69,94.0,26,184.0,1,0,2,421.0,174.0,694.0,64.0,26,114.0,19,3,40,4,2,6
Joe Orr Road,Thorn Creek,2009,1.74,0.54,3.42,-9754419.852949658,5089457.720876058,9.28,2.81,15.49,2000.0,600.0,42000.0,5.0,1,10.0,0.27,0.05,1.5,136.0,96,236.0,1,1,3,1247.0,748.0,1804.0,507.0,185,898.0,20,4,58,6,5,9
Lake Shore Drive,Chicago River,2009,0.05,0.02,0.12,-9753112.184339533,5144283.186382862,0.57,0.2,1.49,230.0,10.0,30000.0,1.0,0,2.0,0.12,0.04,0.28,17.0,14,163.0,0,&lt RL,1,240.0,130.0,448.0,26.0,22,33.0,5,&lt RL,12,2,2,5
Lake Street,West Branch Du Page River,2009,1.75,0.63,3.55,-9810939.89297938,5157781.364521299,8.91,4.78,16.23,605.0,30.0,3300.0,19.0,2,40.0,0.17,0.05,0.48,149.0,102,332.0,2,1,2,638.0,436.0,902.0,61.0,44,72.0,26,14,37,6,5,8
Lake-Cook Road,Des Plaines River,2009,0.62,0.19,1.57,-9786103.272410415,5183885.200209065,4.68,1.76,10.0,170.0,30.0,1100.0,11.0,2,27.0,0.12,0,0.39,148.0,92,219.0,1,1,2,549.0,418.0,710.0,49.0,29,77.0,20,11,41,6,5,9
Lake-Cook Road,Buffalo Creek,2009,0.09,0.05,0.14,-9792683.493154095,5183751.728609537,0.4,0.16,0.88,60.0,9.0,1500.0,19.0,2,47.0,0.09,&lt RL,0.19,191.0,123,310.0,1,1,2,690.0,486.0,846.0,69.0,53,92.0,27,12,42,6,5,10
Lake-Cook Road,Skokie River,2009,0.12,0.05,0.23,-9773171.65434657,5183881.030230567,0.35,0.11,0.68,550.0,120.0,7100.0,6.0,2,11.0,0.14,0.03,0.32,170.0,114,345.0,1,1,1,615.0,366.0,944.0,51.0,31,77.0,21,4,80,5,4,6
Lake-Cook Road,Middle Fork North Branch Chicago River,2009,0.11,0.02,0.19,-9775428.966959778,5183330.473761027,0.24,0.05,0.46,445.0,190.0,5800.0,5.0,1,13.0,0.11,0.01,0.22,178.0,132,388.0,1,1,1,637.0,346.0,994.0,45.0,23,64.0,22,6,105,6,5,7
Lockport Powerhouse,Chicago Sanitary and Ship Canal,2009,0.86,0.38,1.58,-9804834.0167114,5096870.642820761,5.34,2.18,8.77,140.0,9.0,38000.0,6.0,1,32.0,0.42,0.12,1.06,144.0,72,372.0,1,0,2,588.0,330.0,996.0,76.0,47,110.0,16,4,95,4,3,6
Loomis Street,South Branch Chicago River,2009,0.57,&lt RL,1.04,-9758326.630046986,5137947.951214144,4.71,3.17,7.28,300.0,80.0,2500.0,2.0,1,4.0,0.41,0.27,0.61,140.0,49,327.0,1,1,2,492.0,234.0,822.0,44.0,28,59.0,13,7,25,3,3,4
Madison Street,South Branch Chicago River,2009,0.67,0.3,1.21,-9755836.894673718,5143332.001117509,4.58,2.73,7.77,940.0,260.0,2900.0,2.0,1,4.0,0.45,0.28,0.95,120.0,51,361.0,1,1,2,483.0,226.0,842.0,42.0,28,57.0,13,7,16,4,3,4
Material Service Road,Des Plaines River,2009,0.59,0.23,1.12,-9803757.593335949,5100729.017568359,3.78,1.71,7.34,105.0,9.0,970.0,24.0,0,130.0,0.11,0.03,0.37,170.0,109,310.0,1,1,2,610.0,392.0,884.0,61.0,44,88.0,26,8,44,5,4,7
Oakton Street,North Shore Channel,2009,0.47,0.04,1.63,-9763838.713194087,5164984.791142569,2.73,0.21,7.62,200.0,9.0,32000.0,11.0,1,72.0,0.33,0.05,1.37,105.0,12,269.0,1,&lt RL,2,394.0,158.0,756.0,38.0,20,76.0,13,5,38,3,2,5
Oakton Street,Des Plaines River,2009,0.55,0.17,1.55,-9782189.77125312,5164756.208222484,3.9,1.63,9.65,200.0,40.0,1400.0,19.0,2,73.0,0.1,0.02,0.27,162.0,104,193.0,1,1,2,549.0,358.0,664.0,52.0,36,75.0,22,13,46,6,5,8
Ogden Avenue,Des Plaines River,2009,0.65,0.23,1.71,-9775033.160497827,5134155.08934849,4.04,1.73,7.99,360.0,40.0,2000.0,20.0,2,106.0,0.09,0.01,0.18,166.0,116,257.0,1,1,2,590.0,464.0,732.0,57.0,42,80.0,28,12,52,6,4,7
Roosevelt Road,Des Plaines River,2009,0.55,0.19,1.5,-9776892.815460142,5140724.864266957,3.84,1.57,7.98,510.0,70.0,6700.0,20.0,2,105.0,0.08,0.02,0.22,161.0,106,238.0,1,1,1,584.0,458.0,728.0,54.0,38,80.0,24,11,42,6,5,8
Route 19,Poplar Creek,2009,0.07,0.04,0.13,-9823047.74711789,5165577.94301833,0.28,0.12,0.6,120.0,30.0,1300.0,9.0,2,14.0,0.07,0.02,0.15,186.0,128,359.0,1,0,2,652.0,486.0,836.0,42.0,30,51.0,14,5,40,5,4,7
Route 83,Chicago Sanitary and Ship Canal,2009,0.63,0.19,1.14,-9789421.360370245,5116449.74955103,5.29,3.23,7.29,605.0,50.0,3000.0,3.0,1,6.0,0.5,0.18,1.21,138.0,90,343.0,1,1,2,557.0,364.0,834.0,61.0,51,72.0,11,5,23,4,4,5
Route 83,Calumet-Sag Channel,2009,1.33,0.38,2.83,-9789029.93158179,5115601.921870255,3.76,1.88,5.9,65.0,20.0,5800.0,9.0,2,30.0,0.31,0.1,0.48,131.0,57,265.0,1,1,2,559.0,282.0,790.0,94.0,52,141.0,24,9,56,5,3,6
Springinsguth Rd.,West Branch Du Page River,2009,0.17,0.07,0.38,-9809372.143319122,5162219.006850576,0.64,0.4,1.3,2700.0,240.0,27000.0,14.0,1,34.0,0.57,0.07,1.84,202.0,107,779.0,2,1,5,763.0,380.0,1630.0,64.0,26,109.0,23,2,76,10,5,14
Stephen Street,Des Plaines River,2009,0.58,0.21,1.25,-9796385.089554068,5113414.579669373,3.66,1.7,6.25,140.0,9.0,2100.0,30.0,1,123.0,0.09,0.03,0.19,163.0,117,299.0,1,0,2,593.0,414.0,762.0,57.0,44,77.0,30,13,53,6,4,7
Stephen Street,Chicago Sanitary and Ship Canal,2009,0.82,0.33,1.7,-9796052.154215598,5113077.68374999,4.92,2.96,6.02,550.0,70.0,3800.0,5.0,2,20.0,0.44,0.2,0.73,124.0,81,323.0,1,1,2,531.0,376.0,868.0,66.0,52,84.0,14,9,22,4,4,5
Touhy Avenue,North Shore Channel,2009,1.05,0.32,1.59,-9763880.193364626,5162772.158302309,6.47,3.37,8.86,5900.0,4000.0,84000.0,2.0,0,10.0,0.41,0.04,1.51,179.0,49,557.0,1,1,3,614.0,230.0,1258.0,48.0,28,63.0,8,4,14,4,3,6
