Station Name,Waterway,Year,Phosphorous_Average,Phosphorous_Min,Phosphorous_Max,x,y,NO2_NO3_Average,NO2_NO3_Min,NO2_NO3_Max,Fecal_Coliform_Average,Fecal_Coliform_Min,Fecal_Coliform_Max,Chlorophyll-A_Average,Chlorophyll-A_Min,Chlorophyll-A_Max,NH3_Average,NH3_Min,NH3_Max,Chloride_Average,Chloride_Min,Chloride_Max,TKN_Average,TKN_Min,TKN_Max,Total_Dissolved_Solids_Average,Total_Dissolved_Solids_Min,Total_Dissolved_Solids_Max,SO4_Average,SO4_Min,SO4_Max,Suspended_Solids_Average,Suspended_Solids_Min,Suspended_Solids_Max,TOC_Average,TOC_Min,TOC_Max
Willow Springs Road,Des Plaines River,2025,0.35,0.23,0.52,-9782918.22214516,5121485.94585754,4.22,2.82,6.22,130.0,40.0,13000.0,10.0,6,14.0,0.08,&lt RL,0.21,342.0,225,482.0,1,1,1,820.0,666.0,1164.0,65.0,50,72.0,18,7,33,6,5,7
Wilson Avenue,North Branch Chicago River,2025,1.12,0.7,1.44,-9762427.895694705,5155720.021993471,7.83,5.92,9.08,1400.0,90.0,1600.0,5.0,1,9.0,0.88,0.79,1.01,297.0,194,349.0,2,2,2,727.0,544.0,866.0,52.0,48,60.0,4,3,5,6,5,6
139th Street,Midlothian Creek,2024,0.04,&lt RL,0.16,-9762565.693509998,5107888.2094410425,0.63,0.08,1.36,,,,,,,0.07,0.02,0.13,,,,1,0,1,491.0,186.0,860.0,,,,11,2,34,6,4,8
Albany Avenue,North Branch Chicago River,2024,0.19,0.12,0.28,-9764088.462110575,5156857.124687181,4.37,0.84,12.22,350.0,40.0,26000.0,4.0,1,14.0,0.09,&lt RL,0.53,164.0,50,434.0,1,0,1,559.0,188.0,982.0,46.0,16,60.0,12,2,49,6,5,6
Archer Avenue,Bubbly Creek,2024,0.5,0.22,0.88,-9758696.948071493,5136817.240627698,3.99,1.64,6.86,30.0,9.0,400.0,27.0,5,54.0,0.23,&lt RL,0.63,115.0,64,432.0,1,1,2,486.0,310.0,890.0,43.0,29,58.0,10,&lt RL,25,5,3,7
Arlington Dr.,West Branch DuPage River,2024,2.18,0.72,3.65,-9811547.219382191,5157233.888994125,13.07,4.13,21.54,690.0,60.0,7500.0,12.0,4,21.0,0.21,0.01,0.93,125.0,90,354.0,1,1,3,557.0,358.0,878.0,56.0,26,78.0,26,11,76,7,6,10
Ashland Avenue,Little Calumet River,2024,0.52,0.23,0.96,-9758345.734333793,5108959.791525536,3.99,1.04,9.46,530.0,50.0,31000.0,18.0,2,103.0,0.11,&lt RL,0.2,150.0,64,246.0,1,0,1,712.0,350.0,1350.0,203.0,64,617.0,17,4,41,6,4,8
Belmont Avenue,Des Plaines River,2024,0.21,0.08,0.41,-9779371.53102385,5151588.097147647,5.14,1.96,10.96,560.0,120.0,5900.0,7.0,1,29.0,0.04,&lt RL,0.12,163.0,93,289.0,1,1,1,556.0,384.0,824.0,55.0,28,74.0,17,6,45,8,5,27
Brookfield Avenue,Salt Creek,2024,1.4,0.48,2.63,-9778479.118246686,5134478.740255858,7.8,1.52,14.36,870.0,160.0,3400.0,14.0,1,44.0,0.07,&lt RL,0.19,171.0,131,489.0,1,1,1,673.0,498.0,1080.0,68.0,44,85.0,22,10,50,6,6,7
Burnham Avenue,Grand Calumet River,2024,0.22,0.06,0.64,-9744810.951107476,5105915.20396417,4.52,0.11,8.77,205.0,10.0,680000.0,9.0,2,24.0,0.51,0.05,3.0,143.0,97,237.0,2,1,6,689.0,514.0,852.0,147.0,97,245.0,10,4,24,9,6,20
Chatham Road,Midlothian Creek,2024,0.08,&lt RL,0.25,-9759961.818484122,5107888.209656332,0.63,0.14,1.18,,,,,,,0.09,0.01,0.19,,,,1,0,1,488.0,226.0,990.0,,,,16,4,39,6,4,8
Cicero Avenue,Calumet-Sag Channel,2024,0.65,0.3,2.47,-9766975.298081215,5109491.834437173,6.04,2.48,10.25,155.0,20.0,4800.0,8.0,2,24.0,0.23,&lt RL,0.49,160.0,88,228.0,1,1,1,587.0,374.0,820.0,104.0,56,166.0,14,7,51,5,4,7
Cicero Avenue,Chicago Sanitary and Ship Canal,2024,0.58,0.29,0.88,-9767527.508297496,5134013.305608013,4.88,2.62,7.67,15.0,9.0,1200.0,9.0,2,24.0,0.32,&lt RL,0.98,109.0,46,389.0,1,1,2,470.0,262.0,828.0,42.0,30,58.0,6,4,12,4,3,5
Dempster St.,North Shore Channel,2024,0.08,&lt RL,0.42,-9763803.49250606,5167131.2098396,0.56,0.21,2.77,35.0,9.0,2800.0,14.0,1,70.0,0.15,&lt RL,1.06,25.0,15,350.0,1,0,1,358.0,154.0,820.0,37.0,22,79.0,8,4,12,3,2,6
Devon Avenue,Salt Creek,2024,2.48,0.35,5.34,-9795587.075606022,5159923.790866642,10.71,2.25,24.19,730.0,20.0,31000.0,14.0,3,33.0,0.25,&lt RL,1.76,149.0,110,359.0,2,1,3,595.0,464.0,876.0,58.0,34,75.0,10,4,20,8,6,11
Diversey Parkway,North Branch Chicago River,2024,0.93,0.42,1.58,-9760793.273420712,5150867.342273781,6.38,2.58,10.97,265.0,60.0,8700.0,2.0,1,4.0,0.79,0.12,3.18,106.0,63,255.0,2,1,4,472.0,302.0,738.0,43.0,23,56.0,8,4,16,5,4,7
Elmhurst Road,Higgins Creek,2024,0.06,&lt RL,0.12,-9789503.463971144,5164194.269628853,0.39,0.09,0.69,205.0,10.0,12000.0,8.0,3,19.0,0.08,&lt RL,0.35,242.0,68,833.0,1,0,1,757.0,228.0,1528.0,41.0,18,71.0,15,5,48,7,4,25
Halsted Street,Little Calumet River,2024,0.78,0.25,2.19,-9756147.689317685,5109826.122291395,7.89,4.11,10.76,210.0,9.0,2100.0,10.0,1,27.0,0.18,0.03,0.48,129.0,91,301.0,1,0,2,533.0,360.0,868.0,73.0,48,93.0,26,3,171,5,3,7
Harlem Avenue,Chicago Sanitary and Ship Canal,2024,0.56,0.24,1.26,-9774026.337077957,5131234.839862472,6.83,4,9.96,4450.0,480.0,72000.0,4.0,1,11.0,0.4,&lt RL,1.23,129.0,58,398.0,2,1,3,518.0,282.0,920.0,65.0,41,89.0,4,3,9,6,4,7
Higgins Road,Salt Creek,2024,0.03,&lt RL,0.09,-9797375.60963822,5165675.359292448,0.57,0.07,1.64,240.0,9.0,1000.0,16.0,8,28.0,0.04,&lt RL,0.11,197.0,117,465.0,1,0,1,634.0,414.0,1106.0,54.0,26,85.0,17,4,30,7,6,8
Indiana Avenue,Little Calumet River,2024,0.11,&lt RL,0.55,-9753472.18145782,5108772.571885121,1.94,0.34,6.22,20.0,9.0,440.0,18.0,1,53.0,0.12,&lt RL,0.3,144.0,65,287.0,1,1,1,452.0,286.0,738.0,60.0,36,76.0,8,3,18,4,1,6
Lincoln Street,Weller Creek,2024,0.09,&lt RL,0.23,-9791310.180190712,5169842.130070917,0.74,0.58,1.06,4150.0,430.0,1570000.0,6.0,1,18.0,0.3,&lt RL,1.91,330.0,81,688.0,1,1,3,1032.0,304.0,1636.0,169.0,40,288.0,39,5,140,6,2,21
