Station Name,Station Number,Station Description,Parameter Description,Units of Measure,Year,Result Count,Result Average,Result Min,Result Max,Waterway,x,y
Lockport Powerhouse,92,Chicago Sanitary and Ship Canal at Lockport Powerhouse Forebay,Suspended Solids,mg/L,2024,53,6,2,33,Chicago Sanitary and Ship Canal,-9804834.016711399,5096870.642820761
Loomis Street,108,South Branch Chicago River at Loomis Street,Suspended Solids,mg/L,2024,12,7,3,14,South Branch Chicago River,-9758326.630046986,5137947.951214144
Material Service Road,91,Des Plaines River at Material Service Road,Suspended Solids,mg/L,2024,12,15,3,40,Des Plaines River,-9803757.593335949,5100729.017568359
Ogden Avenue,22,Des Plaines River at Ogden Avenue,Suspended Solids,mg/L,2024,12,25,6,82,Des Plaines River,-9775033.160497827,5134155.08934849
Route 83,43,Calumet-Sag Channel at Route 83,Suspended Solids,mg/L,2024,12,15,4,48,Calumet-Sag Channel,-9789029.93158179,5115601.921870255
Springinsguth Rd.,110,West Branch DuPage River at Springinsguth Road,Suspended Solids,mg/L,2024,12,20,8,29,West Branch Du Page River,-9809372.143319122,5162219.006850576
Stephen Street,48,Chicago Sanitary and Ship Canal at Stephen Street,Suspended Solids,mg/L,2024,12,7,3,12,Chicago Sanitary and Ship Canal,-9796052.154215598,5113077.68374999
Touhy Avenue,36,North Shore Channel at Touhy Avenue,Suspended Solids,mg/L,2024,12,4,2,7,North Shore Channel,-9763880.193364626,5162772.158302309
Wells Street,100,Chicago River at Wells Street,Suspended Solids,mg/L,2024,12,3,1,5,Chicago River,-9755339.676982595,5144145.544547021
Wille Road,78,Higgins Creek at Wille Road,Suspended Solids,mg/L,2024,12,2,&lt RL,5,Higgins Creek,-9789066.534741784,5163778.873133089
Willow Springs Road,23,Des Plaines River at Willow Springs Road,Suspended Solids,mg/L,2024,12,21,8,38,Des Plaines River,-9782918.22214516,5121485.94585754
Wilson Avenue,37,North Branch Chicago River at Wilson Avenue,Suspended Solids,mg/L,2024,12,9,3,28,North Branch Chicago River,-9762427.895694703,5155720.021993471
139th Street,129,Midlothian Creek at 139th Street,Suspended Solids,mg/L,2023,12,38,1,324,Midlothian Creek,-9762565.693509998,5107888.2094410425
Albany Avenue,96,North Branch Chicago River at Albany Avenue,Suspended Solids,mg/L,2023,12,10,3,36,North Branch Chicago River,-9764088.462110577,5156857.124687181
Archer Avenue,99,Bubbly Creek at Archer Avenue,Suspended Solids,mg/L,2023,12,11,5,22,Bubbly Creek,-9758696.948071491,5136817.240627698
Arlington Dr.,111,West Branch DuPage River at Arlington Drive,Suspended Solids,mg/L,2023,12,32,16,70,West Branch DuPage River,-9811547.219382191,5157233.888994125
Ashland Avenue,57,Little Calumet River at Ashland Avenue,Suspended Solids,mg/L,2023,12,28,5,103,Little Calumet River,-9758345.734333793,5108959.791525536
Belmont Avenue,19,Des Plaines River at Belmont Avenue,Suspended Solids,mg/L,2023,12,13,3,42,Des Plaines River,-9779371.53102385,5151588.097147647
Brookfield Avenue,109,Salt Creek at Brookfield Avenue,Suspended Solids,mg/L,2023,6,15,9,28,Salt Creek,-9778479.118246686,5134478.740255858
Burnham Avenue,86,Grand Calumet River at Burnham Avenue,Suspended Solids,mg/L,2023,12,9,3,19,Grand Calumet River,-9744810.951107476,5105915.20396417
Chatham Road,130,Midlothian Creek at Chatham Road,Suspended Solids,mg/L,2023,12,40,3,228,Midlothian Creek,-9759961.818484122,5107888.209656332
Cicero Avenue,59,Calumet-Sag Channel at Cicero Avenue,Suspended Solids,mg/L,2023,18,22,8,66,Calumet-Sag Channel,-9766975.298081215,5109491.834437173
Cicero Avenue,75,Chicago Sanitary and Ship Canal at Cicero Avenue,Suspended Solids,mg/L,2023,12,8,5,13,Chicago Sanitary and Ship Canal,-9767527.508297497,5134013.305608013
Dempster St.,112,North Shore Channel at Dempster Street,Suspended Solids,mg/L,2023,12,10,2,27,North Shore Channel,-9763803.492506059,5167131.2098396
Devon Avenue,18,Salt Creek at Devon Avenue,Suspended Solids,mg/L,2023,12,9,3,27,Salt Creek,-9795587.075606022,5159923.790866642
Diversey Parkway,73,North Branch Chicago River at Diversey Parkway,Suspended Solids,mg/L,2023,12,9,5,12,North Branch Chicago River,-9760793.273420712,5150867.342273781
Elmhurst Road,77,Higgins Creek at Elmhurst Road,Suspended Solids,mg/L,2023,12,28,6,86,Higgins Creek,-9789503.463971145,5164194.269628853
Halsted Street,76,Little Calumet River at Halsted Street,Suspended Solids,mg/L,2023,12,8,3,13,Little Calumet River,-9756147.689317683,5109826.122291395
Harlem Avenue,41,Chicago Sanitary and Ship Canal at Harlem Avenue,Suspended Solids,mg/L,2023,12,5,3,14,Chicago Sanitary and Ship Canal,-9774026.337077957,5131234.839862472
Higgins Road,79,Salt Creek at Higgins Road,Suspended Solids,mg/L,2023,12,21,11,39,Salt Creek,-9797375.60963822,5165675.359292448
Indiana Avenue,56,Little Calumet River at Indiana Avenue,Suspended Solids,mg/L,2023,12,13,5,27,Little Calumet River,-9753472.181457821,5108772.571885121
Lincoln Street,127,Weller Creek at Lincoln Street,Suspended Solids,mg/L,2023,12,30,4,132,Weller Creek,-9791310.180190712,5169842.130070917
Lockport Powerhouse,92,Chicago Sanitary and Ship Canal at Lockport Powerhouse Forebay,Suspended Solids,mg/L,2023,52,7,4,21,Chicago Sanitary and Ship Canal,-9804834.016711399,5096870.642820761
Loomis Street,108,South Branch Chicago River at Loomis Street,Suspended Solids,mg/L,2023,12,8,5,13,South Branch Chicago River,-9758326.630046986,5137947.951214144
Material Service Road,91,Des Plaines River at Material Service Road,Suspended Solids,mg/L,2023,12,18,5,57,Des Plaines River,-9803757.593335949,5100729.017568359
Ogden Avenue,22,Des Plaines River at Ogden Avenue,Suspended Solids,mg/L,2023,12,14,1,48,Des Plaines River,-9775033.160497827,5134155.08934849
Route 83,43,Calumet-Sag Channel at Route 83,Suspended Solids,mg/L,2023,12,15,9,30,Calumet-Sag Channel,-9789029.93158179,5115601.921870255
Springinsguth Rd.,110,West Branch DuPage River at Springinsguth Road,Suspended Solids,mg/L,2023,12,17,3,43,West Branch Du Page River,-9809372.143319122,5162219.006850576
Stephen Street,48,Chicago Sanitary and Ship Canal at Stephen Street,Suspended Solids,mg/L,2023,12,10,6,18,Chicago Sanitary and Ship Canal,-9796052.154215598,5113077.68374999
Touhy Avenue,36,North Shore Channel at Touhy Avenue,Suspended Solids,mg/L,2023,12,4,3,6,North Shore Channel,-9763880.193364626,5162772.158302309
Washington Avenue,128,Salt Creek at Washington Avenue,Suspended Solids,mg/L,2023,6,17,3,56,Salt Creek,-9778632.442307537,5135217.403079835
Wells Street,100,Chicago River at Wells Street,Suspended Solids,mg/L,2023,12,3,1,5,Chicago River,-9755339.676982595,5144145.544547021
Wille Road,78,Higgins Creek at Wille Road,Suspended Solids,mg/L,2023,12,5,1,32,Higgins Creek,-9789066.534741784,5163778.873133089
Willow Springs Road,23,Des Plaines River at Willow Springs Road,Suspended Solids,mg/L,2023,12,19,5,53,Des Plaines River,-9782918.22214516,5121485.94585754
Wilson Avenue,37,North Branch Chicago River at Wilson Avenue,Suspended Solids,mg/L,2023,12,8,4,19,North Branch Chicago River,-9762427.895694703,5155720.021993471
139th Street,129,Midlothian Creek at 139th Street,Suspended Solids,mg/L,2022,10,16,3,56,Midlothian Creek,-9762565.693509998,5107888.2094410425
Albany Avenue,96,North Branch Chicago River at Albany Avenue,Suspended Solids,mg/L,2022,12,25,1,165,North Branch Chicago River,-9764088.462110577,5156857.124687181
Archer Avenue,99,Bubbly Creek at Archer Avenue,Suspended Solids,mg/L,2022,10,8,3,16,Bubbly Creek,-9758696.948071491,5136817.240627698
Arlington Dr.,111,West Branch DuPage River at Arlington Drive,Suspended Solids,mg/L,2022,12,41,15,84,West Branch DuPage River,-9811547.219382191,5157233.888994125
Ashland Avenue,57,Little Calumet River at Ashland Avenue,Suspended Solids,mg/L,2022,11,20,4,39,Little Calumet River,-9758345.734333793,5108959.791525536
Belmont Avenue,19,Des Plaines River at Belmont Avenue,Suspended Solids,mg/L,2022,11,21,2,92,Des Plaines River,-9779371.53102385,5151588.097147647
Burnham Avenue,86,Grand Calumet River at Burnham Avenue,Suspended Solids,mg/L,2022,12,7,4,10,Grand Calumet River,-9744810.951107476,5105915.20396417
Chatham Road,130,Midlothian Creek at Chatham Road,Suspended Solids,mg/L,2022,10,20,3,64,Midlothian Creek,-9759961.818484122,5107888.209656332
Cicero Avenue,75,Chicago Sanitary and Ship Canal at Cicero Avenue,Suspended Solids,mg/L,2022,12,8,5,16,Chicago Sanitary and Ship Canal,-9767527.508297497,5134013.305608013
Cicero Avenue,59,Calumet-Sag Channel at Cicero Avenue,Suspended Solids,mg/L,2022,11,16,6,24,Calumet-Sag Channel,-9766975.298081215,5109491.834437173
Dempster St.,112,North Shore Channel at Dempster Street,Suspended Solids,mg/L,2022,10,9,2,20,North Shore Channel,-9763803.492506059,5167131.2098396
Devon Avenue,18,Salt Creek at Devon Avenue,Suspended Solids,mg/L,2022,12,10,3,21,Salt Creek,-9795587.075606022,5159923.790866642
Diversey Parkway,73,North Branch Chicago River at Diversey Parkway,Suspended Solids,mg/L,2022,12,9,2,28,North Branch Chicago River,-9760793.273420712,5150867.342273781
Elmhurst Road,77,Higgins Creek at Elmhurst Road,Suspended Solids,mg/L,2022,12,21,9,40,Higgins Creek,-9789503.463971145,5164194.269628853
Halsted Street,76,Little Calumet River at Halsted Street,Suspended Solids,mg/L,2022,11,8,4,12,Little Calumet River,-9756147.689317683,5109826.122291395
Harlem Avenue,41,Chicago Sanitary and Ship Canal at Harlem Avenue,Suspended Solids,mg/L,2022,12,4,2,7,Chicago Sanitary and Ship Canal,-9774026.337077957,5131234.839862472
Higgins Road,79,Salt Creek at Higgins Road,Suspended Solids,mg/L,2022,10,23,8,81,Salt Creek,-9797375.60963822,5165675.359292448
Indiana Avenue,56,Little Calumet River at Indiana Avenue,Suspended Solids,mg/L,2022,11,15,7,25,Little Calumet River,-9753472.181457821,5108772.571885121
Lincoln Street,127,Weller Creek at Lincoln Street,Suspended Solids,mg/L,2022,12,32,5,122,Weller Creek,-9791310.180190712,5169842.130070917
Lockport Powerhouse,92,Chicago Sanitary and Ship Canal at Lockport Powerhouse Forebay,Suspended Solids,mg/L,2022,52,12,1,218,Chicago Sanitary and Ship Canal,-9804834.016711399,5096870.642820761
Loomis Street,108,South Branch Chicago River at Loomis Street,Suspended Solids,mg/L,2022,12,6,2,9,South Branch Chicago River,-9758326.630046986,5137947.951214144
Material Service Road,91,Des Plaines River at Material Service Road,Suspended Solids,mg/L,2022,11,15,2,67,Des Plaines River,-9803757.593335949,5100729.017568359
Ogden Avenue,22,Des Plaines River at Ogden Avenue,Suspended Solids,mg/L,2022,11,26,3,142,Des Plaines River,-9775033.160497827,5134155.08934849
Route 83,43,Calumet-Sag Channel at Route 83,Suspended Solids,mg/L,2022,11,16,6,23,Calumet-Sag Channel,-9789029.93158179,5115601.921870255
Springinsguth Rd.,110,West Branch DuPage River at Springinsguth Road,Suspended Solids,mg/L,2022,10,29,13,68,West Branch Du Page River,-9809372.143319122,5162219.006850576
Stephen Street,48,Chicago Sanitary and Ship Canal at Stephen Street,Suspended Solids,mg/L,2022,12,11,5,24,Chicago Sanitary and Ship Canal,-9796052.154215598,5113077.68374999
Touhy Avenue,36,North Shore Channel at Touhy Avenue,Suspended Solids,mg/L,2022,12,5,2,11,North Shore Channel,-9763880.193364626,5162772.158302309
Washington Avenue,128,Salt Creek at Washington Avenue,Suspended Solids,mg/L,2022,11,30,3,158,Salt Creek,-9778632.442307537,5135217.403079835
Wells Street,100,Chicago River at Wells Street,Suspended Solids,mg/L,2022,12,3,1,5,Chicago River,-9755339.676982595,5144145.544547021
Wille Road,78,Higgins Creek at Wille Road,Suspended Solids,mg/L,2022,12,4,1,8,Higgins Creek,-9789066.534741784,5163778.873133089
Willow Springs Road,23,Des Plaines River at Willow Springs Road,Suspended Solids,mg/L,2022,11,16,5,41,Des Plaines River,-9782918.22214516,5121485.94585754
Wilson Avenue,37,North Branch Chicago River at Wilson Avenue,Suspended Solids,mg/L,2022,12,8,3,28,North Branch Chicago River,-9762427.895694703,5155720.021993471
130th Street,55,Calumet River at 130th Street,Suspended Solids,mg/L,2021,14,2,1,3,Calumet River,-9748530.69045206,5110104.230203494
Albany Avenue,96,North Branch Chicago River at Albany Avenue,Suspended Solids,mg/L,2021,11,15,3,62,North Branch Chicago River,-9764088.462110577,5156857.124687181
Archer Avenue,99,Bubbly Creek at Archer Avenue,Suspended Solids,mg/L,2021,10,12,5,18,Bubbly Creek,-9758696.948071491,5136817.240627698
Arlington Dr.,111,West Branch DuPage River at Arlington Drive,Suspended Solids,mg/L,2021,12,39,14,73,West Branch DuPage River,-9811547.219382191,5157233.888994125
Ashland Avenue,57,Little Calumet River at Ashland Avenue,Suspended Solids,mg/L,2021,24,38,6,233,Little Calumet River,-9758345.734333793,5108959.791525536
Belmont Avenue,19,Des Plaines River at Belmont Avenue,Suspended Solids,mg/L,2021,12,13,5,28,Des Plaines River,-9779371.53102385,5151588.097147647
Brookfield Avenue,109,Salt Creek at Brookfield Avenue,Suspended Solids,mg/L,2021,5,19,7,54,Salt Creek,-9778479.118246686,5134478.740255858
Burnham Avenue,86,Grand Calumet River at Burnham Avenue,Suspended Solids,mg/L,2021,24,11,5,32,Grand Calumet River,-9744810.951107476,5105915.20396417
Cicero Avenue,75,Chicago Sanitary and Ship Canal at Cicero Avenue,Suspended Solids,mg/L,2021,10,7,3,15,Chicago Sanitary and Ship Canal,-9767527.508297497,5134013.305608013
Cicero Avenue,59,Calumet-Sag Channel at Cicero Avenue,Suspended Solids,mg/L,2021,11,21,4,68,Calumet-Sag Channel,-9766975.298081215,5109491.834437173
Dempster St.,112,North Shore Channel at Dempster Street,Suspended Solids,mg/L,2021,10,7,4,13,North Shore Channel,-9763803.492506059,5167131.2098396
Devon Avenue,18,Salt Creek at Devon Avenue,Suspended Solids,mg/L,2021,12,12,3,56,Salt Creek,-9795587.075606022,5159923.790866642
Diversey Parkway,73,North Branch Chicago River at Diversey Parkway,Suspended Solids,mg/L,2021,12,7,3,12,North Branch Chicago River,-9760793.273420712,5150867.342273781
Elmhurst Road,77,Higgins Creek at Elmhurst Road,Suspended Solids,mg/L,2021,11,35,3,79,Higgins Creek,-9789503.463971145,5164194.269628853
Halsted Street,76,Little Calumet River at Halsted Street,Suspended Solids,mg/L,2021,11,7,4,14,Little Calumet River,-9756147.689317683,5109826.122291395
Harlem Avenue,41,Chicago Sanitary and Ship Canal at Harlem Avenue,Suspended Solids,mg/L,2021,10,5,3,9,Chicago Sanitary and Ship Canal,-9774026.337077957,5131234.839862472
Higgins Road,79,Salt Creek at Higgins Road,Suspended Solids,mg/L,2021,10,20,9,32,Salt Creek,-9797375.60963822,5165675.359292448
Indiana Avenue,56,Little Calumet River at Indiana Avenue,Suspended Solids,mg/L,2021,10,12,5,26,Little Calumet River,-9753472.181457821,5108772.571885121
Lincoln Street,127,Weller Creek at Lincoln Street,Suspended Solids,mg/L,2021,3,89,20,216,Weller Creek,-9791310.180190712,5169842.130070917
Lockport Powerhouse,92,Chicago Sanitary and Ship Canal at Lockport Powerhouse Forebay,Suspended Solids,mg/L,2021,48,8,&lt RL,40,Chicago Sanitary and Ship Canal,-9804834.016711399,5096870.642820761
Loomis Street,108,South Branch Chicago River at Loomis Street,Suspended Solids,mg/L,2021,10,7,3,17,South Branch Chicago River,-9758326.630046986,5137947.951214144
Material Service Road,91,Des Plaines River at Material Service Road,Suspended Solids,mg/L,2021,12,19,5,54,Des Plaines River,-9803757.593335949,5100729.017568359
Ogden Avenue,22,Des Plaines River at Ogden Avenue,Suspended Solids,mg/L,2021,11,20,4,51,Des Plaines River,-9775033.160497827,5134155.08934849
Route 83,42,Chicago Sanitary and Ship Canal at Route 83,Suspended Solids,mg/L,2021,14,5,2,10,Chicago Sanitary and Ship Canal,-9789421.360370245,5116449.74955103
Route 83,43,Calumet-Sag Channel at Route 83,Suspended Solids,mg/L,2021,11,22,3,73,Calumet-Sag Channel,-9789029.93158179,5115601.921870255
Springinsguth Rd.,110,West Branch DuPage River at Springinsguth Road,Suspended Solids,mg/L,2021,11,17,5,63,West Branch Du Page River,-9809372.143319122,5162219.006850576
Stephen Street,48,Chicago Sanitary and Ship Canal at Stephen Street,Suspended Solids,mg/L,2021,10,10,6,17,Chicago Sanitary and Ship Canal,-9796052.154215598,5113077.68374999
Touhy Avenue,36,North Shore Channel at Touhy Avenue,Suspended Solids,mg/L,2021,12,5,2,8,North Shore Channel,-9763880.193364626,5162772.158302309
Washington Avenue,128,Salt Creek at Washington Avenue,Suspended Solids,mg/L,2021,3,12,3,19,Salt Creek,-9778632.442307537,5135217.403079835
Wells Street,100,Chicago River at Wells Street,Suspended Solids,mg/L,2021,10,3,1,5,Chicago River,-9755339.676982595,5144145.544547021
Wille Road,78,Higgins Creek at Wille Road,Suspended Solids,mg/L,2021,11,9,1,59,Higgins Creek,-9789066.534741784,5163778.873133089
Willow Springs Road,23,Des Plaines River at Willow Springs Road,Suspended Solids,mg/L,2021,12,18,7,44,Des Plaines River,-9782918.22214516,5121485.94585754
Wilson Avenue,37,North Branch Chicago River at Wilson Avenue,Suspended Solids,mg/L,2021,12,8,4,17,North Branch Chicago River,-9762427.895694703,5155720.021993471
130th Street,55,Calumet River at 130th Street,Suspended Solids,mg/L,2020,5,1,1,2,Calumet River,-9748530.69045206,5110104.230203494
Albany Avenue,96,North Branch Chicago River at Albany Avenue,Suspended Solids,mg/L,2020,12,14,2,31,North Branch Chicago River,-9764088.462110577,5156857.124687181
Archer Avenue,99,Bubbly Creek at Archer Avenue,Suspended Solids,mg/L,2020,11,14,7,38,Bubbly Creek,-9758696.948071491,5136817.240627698
Arlington Dr.,111,West Branch DuPage River at Arlington Drive,Suspended Solids,mg/L,2020,12,29,7,74,West Branch DuPage River,-9811547.219382191,5157233.888994125
Ashland Avenue,57,Little Calumet River at Ashland Avenue,Suspended Solids,mg/L,2020,16,26,9,90,Little Calumet River,-9758345.734333793,5108959.791525536
Belmont Avenue,19,Des Plaines River at Belmont Avenue,Suspended Solids,mg/L,2020,12,17,2,56,Des Plaines River,-9779371.53102385,5151588.097147647
Brookfield Avenue,109,Salt Creek at Brookfield Avenue,Suspended Solids,mg/L,2020,12,12,3,33,Salt Creek,-9778479.118246686,5134478.740255858
Burnham Avenue,86,Grand Calumet River at Burnham Avenue,Suspended Solids,mg/L,2020,16,7,2,11,Grand Calumet River,-9744810.951107476,5105915.20396417
Cicero Avenue,59,Calumet-Sag Channel at Cicero Avenue,Suspended Solids,mg/L,2020,11,12,6,21,Calumet-Sag Channel,-9766975.298081215,5109491.834437173
Cicero Avenue,75,Chicago Sanitary and Ship Canal at Cicero Avenue,Suspended Solids,mg/L,2020,11,10,5,41,Chicago Sanitary and Ship Canal,-9767527.508297497,5134013.305608013
Dempster St.,112,North Shore Channel at Dempster Street,Suspended Solids,mg/L,2020,12,8,6,14,North Shore Channel,-9763803.492506059,5167131.2098396
Devon Avenue,18,Salt Creek at Devon Avenue,Suspended Solids,mg/L,2020,11,9,4,20,Salt Creek,-9795587.075606022,5159923.790866642
Diversey Parkway,73,North Branch Chicago River at Diversey Parkway,Suspended Solids,mg/L,2020,12,9,5,15,North Branch Chicago River,-9760793.273420712,5150867.342273781
Elmhurst Road,77,Higgins Creek at Elmhurst Road,Suspended Solids,mg/L,2020,12,28,11,58,Higgins Creek,-9789503.463971145,5164194.269628853
Halsted Street,76,Little Calumet River at Halsted Street,Suspended Solids,mg/L,2020,11,5,3,7,Little Calumet River,-9756147.689317683,5109826.122291395
Harlem Avenue,41,Chicago Sanitary and Ship Canal at Harlem Avenue,Suspended Solids,mg/L,2020,11,7,4,27,Chicago Sanitary and Ship Canal,-9774026.337077957,5131234.839862472
Higgins Road,79,Salt Creek at Higgins Road,Suspended Solids,mg/L,2020,12,23,7,69,Salt Creek,-9797375.60963822,5165675.359292448
Indiana Avenue,56,Little Calumet River at Indiana Avenue,Suspended Solids,mg/L,2020,11,7,4,13,Little Calumet River,-9753472.181457821,5108772.571885121
Lockport Powerhouse,92,Chicago Sanitary and Ship Canal at Lockport Powerhouse Forebay,Suspended Solids,mg/L,2020,46,9,1,67,Chicago Sanitary and Ship Canal,-9804834.016711399,5096870.642820761
Loomis Street,108,South Branch Chicago River at Loomis Street,Suspended Solids,mg/L,2020,11,8,5,16,South Branch Chicago River,-9758326.630046986,5137947.951214144
Material Service Road,91,Des Plaines River at Material Service Road,Suspended Solids,mg/L,2020,12,14,3,49,Des Plaines River,-9803757.593335949,5100729.017568359
Ogden Avenue,22,Des Plaines River at Ogden Avenue,Suspended Solids,mg/L,2020,12,15,3,33,Des Plaines River,-9775033.160497827,5134155.08934849
Route 83,42,Chicago Sanitary and Ship Canal at Route 83,Suspended Solids,mg/L,2020,5,6,4,9,Chicago Sanitary and Ship Canal,-9789421.360370245,5116449.74955103
Route 83,43,Calumet-Sag Channel at Route 83,Suspended Solids,mg/L,2020,10,20,8,42,Calumet-Sag Channel,-9789029.93158179,5115601.921870255
Springinsguth Rd.,110,West Branch DuPage River at Springinsguth Road,Suspended Solids,mg/L,2020,12,20,3,85,West Branch Du Page River,-9809372.143319122,5162219.006850576
Stephen Street,48,Chicago Sanitary and Ship Canal at Stephen Street,Suspended Solids,mg/L,2020,10,18,5,95,Chicago Sanitary and Ship Canal,-9796052.154215598,5113077.68374999
Touhy Avenue,36,North Shore Channel at Touhy Avenue,Suspended Solids,mg/L,2020,12,6,3,8,North Shore Channel,-9763880.193364626,5162772.158302309
Wells Street,100,Chicago River at Wells Street,Suspended Solids,mg/L,2020,11,5,&lt RL,25,Chicago River,-9755339.676982595,5144145.544547021
Wille Road,78,Higgins Creek at Wille Road,Suspended Solids,mg/L,2020,12,3,1,12,Higgins Creek,-9789066.534741784,5163778.873133089
Willow Springs Road,23,Des Plaines River at Willow Springs Road,Suspended Solids,mg/L,2020,12,14,6,39,Des Plaines River,-9782918.22214516,5121485.94585754
Wilson Avenue,37,North Branch Chicago River at Wilson Avenue,Suspended Solids,mg/L,2020,12,8,3,19,North Branch Chicago River,-9762427.895694703,5155720.021993471
Albany Avenue,96,North Branch Chicago River at Albany Avenue,Suspended Solids,mg/L,2019,12,13,3,32,North Branch Chicago River,-9764088.462110577,5156857.124687181
Archer Avenue,99,Bubbly Creek at Archer Avenue,Suspended Solids,mg/L,2019,9,11,3,19,Bubbly Creek,-9758696.948071491,5136817.240627698
Arlington Dr.,111,West Branch DuPage River at Arlington Drive,Suspended Solids,mg/L,2019,11,24,10,67,West Branch DuPage River,-9811547.219382191,5157233.888994125
Ashland Avenue,57,Little Calumet River at Ashland Avenue,Suspended Solids,mg/L,2019,10,52,12,132,Little Calumet River,-9758345.734333793,5108959.791525536
Belmont Avenue,19,Des Plaines River at Belmont Avenue,Suspended Solids,mg/L,2019,11,15,10,24,Des Plaines River,-9779371.53102385,5151588.097147647
Brookfield Avenue,109,Salt Creek at Brookfield Avenue,Suspended Solids,mg/L,2019,11,13,4,29,Salt Creek,-9778479.118246686,5134478.740255858
Burnham Avenue,86,Grand Calumet River at Burnham Avenue,Suspended Solids,mg/L,2019,11,10,4,15,Grand Calumet River,-9744810.951107476,5105915.20396417
Cicero Avenue,75,Chicago Sanitary and Ship Canal at Cicero Avenue,Suspended Solids,mg/L,2019,11,11,3,18,Chicago Sanitary and Ship Canal,-9767527.508297497,5134013.305608013
Cicero Avenue,59,Calumet-Sag Channel at Cicero Avenue,Suspended Solids,mg/L,2019,10,29,4,86,Calumet-Sag Channel,-9766975.298081215,5109491.834437173
Dempster St.,112,North Shore Channel at Dempster Street,Suspended Solids,mg/L,2019,10,8,2,16,North Shore Channel,-9763803.492506059,5167131.2098396
Devon Avenue,18,Salt Creek at Devon Avenue,Suspended Solids,mg/L,2019,12,8,3,13,Salt Creek,-9795587.075606022,5159923.790866642
Diversey Parkway,73,North Branch Chicago River at Diversey Parkway,Suspended Solids,mg/L,2019,12,9,4,19,North Branch Chicago River,-9760793.273420712,5150867.342273781
Elmhurst Road,77,Higgins Creek at Elmhurst Road,Suspended Solids,mg/L,2019,11,43,10,184,Higgins Creek,-9789503.463971145,5164194.269628853
Halsted Street,76,Little Calumet River at Halsted Street,Suspended Solids,mg/L,2019,10,7,3,11,Little Calumet River,-9756147.689317683,5109826.122291395
Harlem Avenue,41,Chicago Sanitary and Ship Canal at Harlem Avenue,Suspended Solids,mg/L,2019,11,8,4,12,Chicago Sanitary and Ship Canal,-9774026.337077957,5131234.839862472
Higgins Road,79,Salt Creek at Higgins Road,Suspended Solids,mg/L,2019,11,18,5,42,Salt Creek,-9797375.60963822,5165675.359292448
Indiana Avenue,56,Little Calumet River at Indiana Avenue,Suspended Solids,mg/L,2019,10,9,6,14,Little Calumet River,-9753472.181457821,5108772.571885121
Lockport Powerhouse,92,Chicago Sanitary and Ship Canal at Lockport Powerhouse Forebay,Suspended Solids,mg/L,2019,48,12,1,39,Chicago Sanitary and Ship Canal,-9804834.016711399,5096870.642820761
Loomis Street,108,South Branch Chicago River at Loomis Street,Suspended Solids,mg/L,2019,9,10,5,17,South Branch Chicago River,-9758326.630046986,5137947.951214144
Material Service Road,91,Des Plaines River at Material Service Road,Suspended Solids,mg/L,2019,11,13,5,27,Des Plaines River,-9803757.593335949,5100729.017568359
Ogden Avenue,22,Des Plaines River at Ogden Avenue,Suspended Solids,mg/L,2019,10,15,6,34,Des Plaines River,-9775033.160497827,5134155.08934849
Route 83,43,Calumet-Sag Channel at Route 83,Suspended Solids,mg/L,2019,10,23,7,55,Calumet-Sag Channel,-9789029.93158179,5115601.921870255
Springinsguth Rd.,110,West Branch DuPage River at Springinsguth Road,Suspended Solids,mg/L,2019,11,23,3,130,West Branch Du Page River,-9809372.143319122,5162219.006850576
Stephen Street,48,Chicago Sanitary and Ship Canal at Stephen Street,Suspended Solids,mg/L,2019,11,13,7,24,Chicago Sanitary and Ship Canal,-9796052.154215598,5113077.68374999
Touhy Avenue,36,North Shore Channel at Touhy Avenue,Suspended Solids,mg/L,2019,12,7,4,10,North Shore Channel,-9763880.193364626,5162772.158302309
Wells Street,100,Chicago River at Wells Street,Suspended Solids,mg/L,2019,11,5,3,8,Chicago River,-9755339.676982595,5144145.544547021
Wille Road,78,Higgins Creek at Wille Road,Suspended Solids,mg/L,2019,9,9,2,39,Higgins Creek,-9789066.534741784,5163778.873133089
Willow Springs Road,23,Des Plaines River at Willow Springs Road,Suspended Solids,mg/L,2019,4,16,13,19,Des Plaines River,-9782918.22214516,5121485.94585754
Wilson Avenue,37,North Branch Chicago River at Wilson Avenue,Suspended Solids,mg/L,2019,8,7,2,14,North Branch Chicago River,-9762427.895694703,5155720.021993471
Albany Avenue,96,North Branch Chicago River at Albany Avenue,Suspended Solids,mg/L,2018,9,31,4,149,North Branch Chicago River,-9764088.462110577,5156857.124687181
Archer Avenue,99,Bubbly Creek at Archer Avenue,Suspended Solids,mg/L,2018,11,14,6,30,Bubbly Creek,-9758696.948071491,5136817.240627698
Arlington Dr.,111,West Branch DuPage River at Arlington Drive,Suspended Solids,mg/L,2018,12,22,12,34,West Branch DuPage River,-9811547.219382191,5157233.888994125
Ashland Avenue,57,Little Calumet River at Ashland Avenue,Suspended Solids,mg/L,2018,12,27,6,109,Little Calumet River,-9758345.734333793,5108959.791525536
Belmont Avenue,19,Des Plaines River at Belmont Avenue,Suspended Solids,mg/L,2018,10,14,6,27,Des Plaines River,-9779371.53102385,5151588.097147647
Brookfield Avenue,109,Salt Creek at Brookfield Avenue,Suspended Solids,mg/L,2018,11,19,4,37,Salt Creek,-9778479.118246686,5134478.740255858
