Station Name,Station Number,Station Description,Parameter Description,Units of Measure,Year,Result Count,Result Average,Result Min,Result Max,Waterway,x,y
Ogden Avenue,22,Des Plaines River at Ogden Avenue,Suspended Solids,mg/L,2016,12,19,5,43,Des Plaines River,-9775033.160497827,5134155.08934849
Route 83,43,Calumet-Sag Channel at Route 83,Suspended Solids,mg/L,2016,11,17,5,28,Calumet-Sag Channel,-9789029.93158179,5115601.921870255
Springinsguth Rd.,110,West Branch DuPage River at Springinsguth Road,Suspended Solids,mg/L,2016,11,15,3,37,West Branch Du Page River,-9809372.143319122,5162219.006850576
Stephen Street,48,Chicago Sanitary and Ship Canal at Stephen Street,Suspended Solids,mg/L,2016,12,12,6,22,Chicago Sanitary and Ship Canal,-9796052.154215598,5113077.68374999
Touhy Avenue,36,North Shore Channel at Touhy Avenue,Suspended Solids,mg/L,2016,12,7,4,12,North Shore Channel,-9763880.193364626,5162772.158302309
Wells Street,100,Chicago River at Wells Street,Suspended Solids,mg/L,2016,11,6,2,9,Chicago River,-9755339.676982595,5144145.544547021
Wille Road,78,Higgins Creek at Wille Road,Suspended Solids,mg/L,2016,11,4,3,10,Higgins Creek,-9789066.534741784,5163778.873133089
Willow Springs Road,23,Des Plaines River at Willow Springs Road,Suspended Solids,mg/L,2016,11,20,5,36,Des Plaines River,-9782918.22214516,5121485.94585754
Albany Avenue,96,North Branch Chicago River at Albany Avenue,Suspended Solids,mg/L,2015,9,30,7,87,North Branch Chicago River,-9764088.462110577,5156857.124687181
Archer Avenue,99,Bubbly Creek at Archer Avenue,Suspended Solids,mg/L,2015,10,11,4,18,Bubbly Creek,-9758696.948071491,5136817.240627698
Arlington Dr.,111,West Branch DuPage River at Arlington Drive,Suspended Solids,mg/L,2015,12,24,7,50,West Branch DuPage River,-9811547.219382191,5157233.888994125
Ashland Avenue,57,Little Calumet River at Ashland Avenue,Suspended Solids,mg/L,2015,10,46,9,168,Little Calumet River,-9758345.734333793,5108959.791525536
Belmont Avenue,19,Des Plaines River at Belmont Avenue,Suspended Solids,mg/L,2015,11,19,10,41,Des Plaines River,-9779371.53102385,5151588.097147647
Brookfield Avenue,109,Salt Creek at Brookfield Avenue,Suspended Solids,mg/L,2015,10,15,4,36,Salt Creek,-9778479.118246686,5134478.740255858
Burnham Avenue,86,Grand Calumet River at Burnham Avenue,Suspended Solids,mg/L,2015,11,12,2,29,Grand Calumet River,-9744810.951107476,5105915.20396417
Cicero Avenue,75,Chicago Sanitary and Ship Canal at Cicero Avenue,Suspended Solids,mg/L,2015,12,12,4,27,Chicago Sanitary and Ship Canal,-9767527.508297497,5134013.305608013
Cicero Avenue,59,Calumet-Sag Channel at Cicero Avenue,Suspended Solids,mg/L,2015,10,20,5,56,Calumet-Sag Channel,-9766975.298081215,5109491.834437173
Dempster St.,112,North Shore Channel at Dempster Street,Suspended Solids,mg/L,2015,9,13,8,21,North Shore Channel,-9763803.492506059,5167131.2098396
Devon Avenue,18,Salt Creek at Devon Avenue,Suspended Solids,mg/L,2015,11,11,4,49,Salt Creek,-9795587.075606022,5159923.790866642
Diversey Parkway,73,North Branch Chicago River at Diversey Parkway,Suspended Solids,mg/L,2015,12,39,8,328,North Branch Chicago River,-9760793.273420712,5150867.342273781
Halsted Street,76,Little Calumet River at Halsted Street,Suspended Solids,mg/L,2015,10,12,4,28,Little Calumet River,-9756147.689317683,5109826.122291395
Harlem Avenue,41,Chicago Sanitary and Ship Canal at Harlem Avenue,Suspended Solids,mg/L,2015,12,6,4,12,Chicago Sanitary and Ship Canal,-9774026.337077957,5131234.839862472
Higgins Road,79,Salt Creek at Higgins Road,Suspended Solids,mg/L,2015,9,24,9,46,Salt Creek,-9797375.60963822,5165675.359292448
Indiana Avenue,56,Little Calumet River at Indiana Avenue,Suspended Solids,mg/L,2015,9,24,10,80,Little Calumet River,-9753472.181457821,5108772.571885121
Lockport Powerhouse,92,Chicago Sanitary and Ship Canal at Lockport Powerhouse Forebay,Suspended Solids,mg/L,2015,51,9,3,24,Chicago Sanitary and Ship Canal,-9804834.016711399,5096870.642820761
Loomis Street,108,South Branch Chicago River at Loomis Street,Suspended Solids,mg/L,2015,11,10,6,17,South Branch Chicago River,-9758326.630046986,5137947.951214144
Material Service Road,91,Des Plaines River at Material Service Road,Suspended Solids,mg/L,2015,12,16,4,35,Des Plaines River,-9803757.593335949,5100729.017568359
Ogden Avenue,22,Des Plaines River at Ogden Avenue,Suspended Solids,mg/L,2015,10,17,7,44,Des Plaines River,-9775033.160497827,5134155.08934849
Route 83,43,Calumet-Sag Channel at Route 83,Suspended Solids,mg/L,2015,11,15,5,37,Calumet-Sag Channel,-9789029.93158179,5115601.921870255
Springinsguth Rd.,110,West Branch DuPage River at Springinsguth Road,Suspended Solids,mg/L,2015,9,13,5,20,West Branch Du Page River,-9809372.143319122,5162219.006850576
Stephen Street,48,Chicago Sanitary and Ship Canal at Stephen Street,Suspended Solids,mg/L,2015,10,13,5,27,Chicago Sanitary and Ship Canal,-9796052.154215598,5113077.68374999
Touhy Avenue,36,North Shore Channel at Touhy Avenue,Suspended Solids,mg/L,2015,12,8,4,13,North Shore Channel,-9763880.193364626,5162772.158302309
Wells Street,100,Chicago River at Wells Street,Suspended Solids,mg/L,2015,12,8,2,18,Chicago River,-9755339.676982595,5144145.544547021
Wille Road,78,Higgins Creek at Wille Road,Suspended Solids,mg/L,2015,10,4,2,7,Higgins Creek,-9789066.534741784,5163778.873133089
Willow Springs Road,23,Des Plaines River at Willow Springs Road,Suspended Solids,mg/L,2015,9,15,5,23,Des Plaines River,-9782918.22214516,5121485.94585754
Albany Avenue,96,North Branch Chicago River at Albany Avenue,Suspended Solids,mg/L,2014,11,21,2,53,North Branch Chicago River,-9764088.462110577,5156857.124687181
Archer Avenue,99,Bubbly Creek at Archer Avenue,Suspended Solids,mg/L,2014,11,15,4,40,Bubbly Creek,-9758696.948071491,5136817.240627698
Arlington Dr.,111,West Branch DuPage River at Arlington Drive,Suspended Solids,mg/L,2014,11,30,12,104,West Branch DuPage River,-9811547.219382191,5157233.888994125
Ashland Avenue,57,Little Calumet River at Ashland Avenue,Suspended Solids,mg/L,2014,11,55,7,206,Little Calumet River,-9758345.734333793,5108959.791525536
Belmont Avenue,19,Des Plaines River at Belmont Avenue,Suspended Solids,mg/L,2014,10,18,3,36,Des Plaines River,-9779371.53102385,5151588.097147647
Brookfield Avenue,109,Salt Creek at Brookfield Avenue,Suspended Solids,mg/L,2014,9,14,4,40,Salt Creek,-9778479.118246686,5134478.740255858
Burnham Avenue,86,Grand Calumet River at Burnham Avenue,Suspended Solids,mg/L,2014,10,11,3,38,Grand Calumet River,-9744810.951107476,5105915.20396417
Cicero Avenue,75,Chicago Sanitary and Ship Canal at Cicero Avenue,Suspended Solids,mg/L,2014,11,11,7,20,Chicago Sanitary and Ship Canal,-9767527.508297497,5134013.305608013
Cicero Avenue,59,Calumet-Sag Channel at Cicero Avenue,Suspended Solids,mg/L,2014,11,32,14,111,Calumet-Sag Channel,-9766975.298081215,5109491.834437173
Dempster St.,112,North Shore Channel at Dempster Street,Suspended Solids,mg/L,2014,9,14,7,26,North Shore Channel,-9763803.492506059,5167131.2098396
Devon Avenue,18,Salt Creek at Devon Avenue,Suspended Solids,mg/L,2014,11,9,3,18,Salt Creek,-9795587.075606022,5159923.790866642
Diversey Parkway,73,North Branch Chicago River at Diversey Parkway,Suspended Solids,mg/L,2014,12,12,5,24,North Branch Chicago River,-9760793.273420712,5150867.342273781
Elmhurst Road,77,Higgins Creek at Elmhurst Road,Suspended Solids,mg/L,2014,4,13,6,23,Higgins Creek,-9789503.463971145,5164194.269628853
