Station Name,Station Description,Parameter Description,Units,Year,Result Count,Result Min,Result Max,Result Median,Waterway,x,y
Ashland Avenue,Little Calumet River at Ashland Avenue,Fecal Coliform ,CFU/100mL,2022,11,200,5500,730,Little Calumet River,-9758345.734333793,5108959.791525536
Belmont Avenue,Des Plaines River at Belmont Avenue,Fecal Coliform ,CFU/100mL,2022,11,200,94000,700,Des Plaines River,-9779371.53102385,5151588.097147647
Burnham Avenue,Grand Calumet River at Burnham Avenue,Fecal Coliform ,CFU/100mL,2022,12,60,130000,315,Grand Calumet River,-9744810.951107476,5105915.20396417
Cicero Avenue,Chicago Sanitary and Ship Canal at Cicero Avenue,Fecal Coliform ,CFU/100mL,2022,11,10,1100,30,Chicago Sanitary and Ship Canal,-9767527.508297497,5134013.305608013
Cicero Avenue,Calumet-Sag Channel at Cicero Avenue,Fecal Coliform ,CFU/100mL,2022,11,40,3900,290,Calumet-Sag Channel,-9766975.298081215,5109491.834437173
Dempster St.,North Shore Channel at Dempster Street,Fecal Coliform ,CFU/100mL,2022,10,9,3800,10,North Shore Channel,-9763803.492506059,5167131.2098396
Devon Avenue,Salt Creek at Devon Avenue,Fecal Coliform ,CFU/100mL,2022,12,160,5400,2450,Salt Creek,-9795587.075606022,5159923.790866642
Diversey Parkway,North Branch Chicago River at Diversey Parkway,Fecal Coliform ,CFU/100mL,2022,12,80,4500,635,North Branch Chicago River,-9760793.273420712,5150867.342273781
Elmhurst Road,Higgins Creek at Elmhurst Road,Fecal Coliform ,CFU/100mL,2022,12,30,330000,550,Higgins Creek,-9789503.463971145,5164194.269628853
Halsted Street,Little Calumet River at Halsted Street,Fecal Coliform ,CFU/100mL,2022,11,40,7600,110,Little Calumet River,-9756147.689317683,5109826.122291395
Harlem Avenue,Chicago Sanitary and Ship Canal at Harlem Avenue,Fecal Coliform ,CFU/100mL,2022,11,1600,41000,6400,Chicago Sanitary and Ship Canal,-9774026.337077957,5131234.839862472
Higgins Road,Salt Creek at Higgins Road,Fecal Coliform ,CFU/100mL,2022,10,20,19000,175,Salt Creek,-9797375.60963822,5165675.359292448
Indiana Avenue,Little Calumet River at Indiana Avenue,Fecal Coliform ,CFU/100mL,2022,11,10,110,30,Little Calumet River,-9753472.181457821,5108772.571885121
Lincoln Street,Weller Creek at Lincoln Street,Fecal Coliform ,CFU/100mL,2022,12,310,320000,2450,Weller Creek,-9791310.180190712,5169842.130070917
Lockport Powerhouse,Chicago Sanitary and Ship Canal at Lockport Powerhouse Forebay,Fecal Coliform ,CFU/100mL,2022,51,9,4200,99,Chicago Sanitary and Ship Canal,-9804834.016711399,5096870.642820761
Loomis Street,South Branch Chicago River at Loomis Street,Fecal Coliform ,CFU/100mL,2022,11,10,350,40,South Branch Chicago River,-9758326.630046986,5137947.951214144
Material Service Road,Des Plaines River at Material Service Road,Fecal Coliform ,CFU/100mL,2022,11,10,1400,60,Des Plaines River,-9803757.593335949,5100729.017568359
Ogden Avenue,Des Plaines River at Ogden Avenue,Fecal Coliform ,CFU/100mL,2022,11,210,60000,700,Des Plaines River,-9775033.160497827,5134155.08934849
Route 83,Calumet-Sag Channel at Route 83,Fecal Coliform ,CFU/100mL,2022,11,9,590,140,Calumet-Sag Channel,-9789029.93158179,5115601.921870255
Springinsguth Rd.,West Branch DuPage River at Springinsguth Road,Fecal Coliform ,CFU/100mL,2022,10,230,69000,2105,West Branch Du Page River,-9809372.143319122,5162219.006850576
Stephen Street,Chicago Sanitary and Ship Canal at Stephen Street,Fecal Coliform ,CFU/100mL,2022,11,10,12000,740,Chicago Sanitary and Ship Canal,-9796052.154215598,5113077.68374999
Touhy Avenue,North Shore Channel at Touhy Avenue,Fecal Coliform ,CFU/100mL,2022,12,110,8300,345,North Shore Channel,-9763880.193364626,5162772.158302309
Washington Avenue,Salt Creek at Washington Avenue,Fecal Coliform ,CFU/100mL,2022,11,210,41000,2900,Salt Creek,-9778632.442307537,5135217.403079835
Wells Street,Chicago River at Wells Street,Fecal Coliform ,CFU/100mL,2022,11,20,6800,660,Chicago River,-9755339.676982595,5144145.544547021
Wille Road,Higgins Creek at Wille Road,Fecal Coliform ,CFU/100mL,2022,12,60,77000,395,Higgins Creek,-9789066.534741784,5163778.873133089
Willow Springs Road,Des Plaines River at Willow Springs Road,Fecal Coliform ,CFU/100mL,2022,11,40,10000,310,Des Plaines River,-9782918.22214516,5121485.94585754
