Station Number,Station Name,Station Description,Parameter Description,Units of Measure,Result Count,Year,Result Average,Result Min,Result Max,Waterway,x,y
111,Arlington Dr.,West Branch DuPage River at Arlington Drive,"Phosphorous, total",mg/L,12,2015,2.04,1.16,3.28,West Branch DuPage River,-9811547.219382191,5157233.888994125
57,Ashland Avenue,Little Calumet River at Ashland Avenue,"Phosphorous, total",mg/L,10,2015,0.84,0.38,3.45,Little Calumet River,-9758345.734333793,5108959.791525536
19,Belmont Avenue,Des Plaines River at Belmont Avenue,"Phosphorous, total",mg/L,11,2015,0.66,0.18,1.32,Des Plaines River,-9779371.53102385,5151588.097147647
109,Brookfield Avenue,Salt Creek at Brookfield Avenue,"Phosphorous, total",mg/L,10,2015,1.05,0.49,1.65,Salt Creek,-9778479.118246686,5134478.740255858
86,Burnham Avenue,Grand Calumet River at Burnham Avenue,"Phosphorous, total",mg/L,11,2015,0.32,0.16,0.49,Grand Calumet River,-9744810.951107476,5105915.20396417
75,Cicero Avenue,Chicago Sanitary and Ship Canal at Cicero Avenue,"Phosphorous, total",mg/L,12,2015,0.68,0.28,1.1,Chicago Sanitary and Ship Canal,-9767527.508297497,5134013.305608013
59,Cicero Avenue,Calumet-Sag Channel at Cicero Avenue,"Phosphorous, total",mg/L,10,2015,1.93,0.62,3.74,Calumet-Sag Channel,-9766975.298081215,5109491.834437173
112,Dempster St.,North Shore Channel at Dempster Street,"Phosphorous, total",mg/L,9,2015,0.15,0.03,0.72,North Shore Channel,-9763803.492506059,5167131.2098396
18,Devon Avenue,Salt Creek at Devon Avenue,"Phosphorous, total",mg/L,11,2015,1.64,0.49,3.54,Salt Creek,-9795587.075606022,5159923.790866642
73,Diversey Parkway,North Branch Chicago River at Diversey Parkway,"Phosphorous, total",mg/L,12,2015,1.19,0.51,2.29,North Branch Chicago River,-9760793.273420712,5150867.342273781
76,Halsted Street,Little Calumet River at Halsted Street,"Phosphorous, total",mg/L,10,2015,1.62,0.51,2.71,Little Calumet River,-9756147.689317683,5109826.122291395
41,Harlem Avenue,Chicago Sanitary and Ship Canal at Harlem Avenue,"Phosphorous, total",mg/L,12,2015,0.66,0.27,1.37,Chicago Sanitary and Ship Canal,-9774026.337077957,5131234.839862472
79,Higgins Road,Salt Creek at Higgins Road,"Phosphorous, total",mg/L,9,2015,0.09,0.03,0.15,Salt Creek,-9797375.60963822,5165675.359292448
56,Indiana Avenue,Little Calumet River at Indiana Avenue,"Phosphorous, total",mg/L,9,2015,0.12,0.05,0.27,Little Calumet River,-9753472.181457821,5108772.571885121
92,Lockport Powerhouse,Chicago Sanitary and Ship Canal at Lockport Powerhouse Forebay,"Phosphorous, total",mg/L,51,2015,1,0.39,2.42,Chicago Sanitary and Ship Canal,-9804834.016711399,5096870.642820761
108,Loomis Street,South Branch Chicago River at Loomis Street,"Phosphorous, total",mg/L,11,2015,0.92,0.33,2.05,South Branch Chicago River,-9758326.630046986,5137947.951214144
91,Material Service Road,Des Plaines River at Material Service Road,"Phosphorous, total",mg/L,12,2015,0.64,0.26,1.09,Des Plaines River,-9803757.593335949,5100729.017568359
22,Ogden Avenue,Des Plaines River at Ogden Avenue,"Phosphorous, total",mg/L,10,2015,0.7,0.26,1.09,Des Plaines River,-9775033.160497827,5134155.08934849
43,Route 83,Calumet-Sag Channel at Route 83,"Phosphorous, total",mg/L,11,2015,1.56,0.83,2.32,Calumet-Sag Channel,-9789029.93158179,5115601.921870255
110,Springinsguth Rd.,West Branch DuPage River at Springinsguth Road,"Phosphorous, total",mg/L,9,2015,0.16,0.06,0.3,West Branch Du Page River,-9809372.143319122,5162219.006850576
48,Stephen Street,Chicago Sanitary and Ship Canal at Stephen Street,"Phosphorous, total",mg/L,10,2015,0.98,0.44,1.54,Chicago Sanitary and Ship Canal,-9796052.154215598,5113077.68374999
36,Touhy Avenue,North Shore Channel at Touhy Avenue,"Phosphorous, total",mg/L,12,2015,1.49,0.42,2.7,North Shore Channel,-9763880.193364626,5162772.158302309
100,Wells Street,Chicago River at Wells Street,"Phosphorous, total",mg/L,12,2015,0.34,0.04,0.86,Chicago River,-9755339.676982595,5144145.544547021
78,Wille Road,Higgins Creek at Wille Road,"Phosphorous, total",mg/L,10,2015,0.66,0.28,1.51,Higgins Creek,-9789066.534741784,5163778.873133089
23,Willow Springs Road,Des Plaines River at Willow Springs Road,"Phosphorous, total",mg/L,9,2015,0.64,0.24,0.95,Des Plaines River,-9782918.22214516,5121485.94585754
96,Albany Avenue,North Branch Chicago River at Albany Avenue,"Phosphorous, total",mg/L,11,2014,0.52,0.34,0.85,North Branch Chicago River,-9764088.462110577,5156857.124687181
99,Archer Avenue,Bubbly Creek at Archer Avenue,"Phosphorous, total",mg/L,11,2014,0.47,0.26,0.91,Bubbly Creek,-9758696.948071491,5136817.240627698
111,Arlington Dr.,West Branch DuPage River at Arlington Drive,"Phosphorous, total",mg/L,11,2014,2.01,0.61,3.33,West Branch DuPage River,-9811547.219382191,5157233.888994125
57,Ashland Avenue,Little Calumet River at Ashland Avenue,"Phosphorous, total",mg/L,11,2014,0.53,0.29,1.3,Little Calumet River,-9758345.734333793,5108959.791525536
19,Belmont Avenue,Des Plaines River at Belmont Avenue,"Phosphorous, total",mg/L,10,2014,0.63,0.33,1.23,Des Plaines River,-9779371.53102385,5151588.097147647
109,Brookfield Avenue,Salt Creek at Brookfield Avenue,"Phosphorous, total",mg/L,9,2014,0.89,0.43,1.64,Salt Creek,-9778479.118246686,5134478.740255858
86,Burnham Avenue,Grand Calumet River at Burnham Avenue,"Phosphorous, total",mg/L,10,2014,0.68,0.25,1.72,Grand Calumet River,-9744810.951107476,5105915.20396417
75,Cicero Avenue,Chicago Sanitary and Ship Canal at Cicero Avenue,"Phosphorous, total",mg/L,11,2014,0.58,0.29,1.34,Chicago Sanitary and Ship Canal,-9767527.508297497,5134013.305608013
59,Cicero Avenue,Calumet-Sag Channel at Cicero Avenue,"Phosphorous, total",mg/L,11,2014,1.49,0.57,2.72,Calumet-Sag Channel,-9766975.298081215,5109491.834437173
112,Dempster St.,North Shore Channel at Dempster Street,"Phosphorous, total",mg/L,9,2014,0.18,0.05,0.48,North Shore Channel,-9763803.492506059,5167131.2098396
18,Devon Avenue,Salt Creek at Devon Avenue,"Phosphorous, total",mg/L,11,2014,1.35,0.39,3.02,Salt Creek,-9795587.075606022,5159923.790866642
73,Diversey Parkway,North Branch Chicago River at Diversey Parkway,"Phosphorous, total",mg/L,12,2014,1.13,0.48,1.92,North Branch Chicago River,-9760793.273420712,5150867.342273781
77,Elmhurst Road,Higgins Creek at Elmhurst Road,"Phosphorous, total",mg/L,4,2014,0.13,0.08,0.27,Higgins Creek,-9789503.463971145,5164194.269628853
76,Halsted Street,Little Calumet River at Halsted Street,"Phosphorous, total",mg/L,12,2014,1.73,0.43,3.42,Little Calumet River,-9756147.689317683,5109826.122291395
41,Harlem Avenue,Chicago Sanitary and Ship Canal at Harlem Avenue,"Phosphorous, total",mg/L,11,2014,0.69,0.21,1.93,Chicago Sanitary and Ship Canal,-9774026.337077957,5131234.839862472
79,Higgins Road,Salt Creek at Higgins Road,"Phosphorous, total",mg/L,9,2014,0.12,0.09,0.16,Salt Creek,-9797375.60963822,5165675.359292448
56,Indiana Avenue,Little Calumet River at Indiana Avenue,"Phosphorous, total",mg/L,10,2014,0.37,0.07,1.89,Little Calumet River,-9753472.181457821,5108772.571885121
92,Lockport Powerhouse,Chicago Sanitary and Ship Canal at Lockport Powerhouse Forebay,"Phosphorous, total",mg/L,51,2014,0.82,0.13,1.84,Chicago Sanitary and Ship Canal,-9804834.016711399,5096870.642820761
108,Loomis Street,South Branch Chicago River at Loomis Street,"Phosphorous, total",mg/L,12,2014,0.59,0.34,1.09,South Branch Chicago River,-9758326.630046986,5137947.951214144
91,Material Service Road,Des Plaines River at Material Service Road,"Phosphorous, total",mg/L,10,2014,0.62,0.33,1.04,Des Plaines River,-9803757.593335949,5100729.017568359
22,Ogden Avenue,Des Plaines River at Ogden Avenue,"Phosphorous, total",mg/L,9,2014,0.65,0.36,1.19,Des Plaines River,-9775033.160497827,5134155.08934849
43,Route 83,Calumet-Sag Channel at Route 83,"Phosphorous, total",mg/L,11,2014,1.47,0.56,2.6,Calumet-Sag Channel,-9789029.93158179,5115601.921870255
110,Springinsguth Rd.,West Branch DuPage River at Springinsguth Road,"Phosphorous, total",mg/L,8,2014,0.18,0.1,0.34,West Branch Du Page River,-9809372.143319122,5162219.006850576
48,Stephen Street,Chicago Sanitary and Ship Canal at Stephen Street,"Phosphorous, total",mg/L,11,2014,0.76,0.35,1.5,Chicago Sanitary and Ship Canal,-9796052.154215598,5113077.68374999
36,Touhy Avenue,North Shore Channel at Touhy Avenue,"Phosphorous, total",mg/L,12,2014,1.37,0.59,2.81,North Shore Channel,-9763880.193364626,5162772.158302309
100,Wells Street,Chicago River at Wells Street,"Phosphorous, total",mg/L,11,2014,0.32,0.07,0.8,Chicago River,-9755339.676982595,5144145.544547021
78,Wille Road,Higgins Creek at Wille Road,"Phosphorous, total",mg/L,12,2014,1.13,0.46,1.93,Higgins Creek,-9789066.534741784,5163778.873133089
23,Willow Springs Road,Des Plaines River at Willow Springs Road,"Phosphorous, total",mg/L,9,2014,0.6,0.33,0.85,Des Plaines River,-9782918.22214516,5121485.94585754
96,Albany Avenue,North Branch Chicago River at Albany Avenue,"Phosphorous, total",mg/L,12,2013,0.47,0.26,0.82,North Branch Chicago River,-9764088.462110577,5156857.124687181
99,Archer Avenue,Bubbly Creek at Archer Avenue,"Phosphorous, total",mg/L,10,2013,0.36,0.27,0.54,Bubbly Creek,-9758696.948071491,5136817.240627698
111,Arlington Dr.,West Branch DuPage River at Arlington Drive,"Phosphorous, total",mg/L,12,2013,1.95,0.81,3.11,West Branch DuPage River,-9811547.219382191,5157233.888994125
57,Ashland Avenue,Little Calumet River at Ashland Avenue,"Phosphorous, total",mg/L,10,2013,1.04,0.23,3.09,Little Calumet River,-9758345.734333793,5108959.791525536
19,Belmont Avenue,Des Plaines River at Belmont Avenue,"Phosphorous, total",mg/L,12,2013,0.75,0.28,1.5,Des Plaines River,-9779371.53102385,5151588.097147647
109,Brookfield Avenue,Salt Creek at Brookfield Avenue,"Phosphorous, total",mg/L,11,2013,0.92,0.43,1.69,Salt Creek,-9778479.118246686,5134478.740255858
86,Burnham Avenue,Grand Calumet River at Burnham Avenue,"Phosphorous, total",mg/L,9,2013,0.61,0.25,1.05,Grand Calumet River,-9744810.951107476,5105915.20396417
75,Cicero Avenue,Chicago Sanitary and Ship Canal at Cicero Avenue,"Phosphorous, total",mg/L,12,2013,0.65,0.3,1.01,Chicago Sanitary and Ship Canal,-9767527.508297497,5134013.305608013
59,Cicero Avenue,Calumet-Sag Channel at Cicero Avenue,"Phosphorous, total",mg/L,11,2013,1.69,0.41,3.9,Calumet-Sag Channel,-9766975.298081215,5109491.834437173
112,Dempster St.,North Shore Channel at Dempster Street,"Phosphorous, total",mg/L,10,2013,0.23,0.07,0.69,North Shore Channel,-9763803.492506059,5167131.2098396
18,Devon Avenue,Salt Creek at Devon Avenue,"Phosphorous, total",mg/L,12,2013,1.51,0.61,3.29,Salt Creek,-9795587.075606022,5159923.790866642
73,Diversey Parkway,North Branch Chicago River at Diversey Parkway,"Phosphorous, total",mg/L,12,2013,1.07,0.45,1.74,North Branch Chicago River,-9760793.273420712,5150867.342273781
77,Elmhurst Road,Higgins Creek at Elmhurst Road,"Phosphorous, total",mg/L,4,2013,0.1,0.04,0.19,Higgins Creek,-9789503.463971145,5164194.269628853
76,Halsted Street,Little Calumet River at Halsted Street,"Phosphorous, total",mg/L,11,2013,2.19,0.84,3.97,Little Calumet River,-9756147.689317683,5109826.122291395
41,Harlem Avenue,Chicago Sanitary and Ship Canal at Harlem Avenue,"Phosphorous, total",mg/L,12,2013,0.72,0.16,1.74,Chicago Sanitary and Ship Canal,-9774026.337077957,5131234.839862472
79,Higgins Road,Salt Creek at Higgins Road,"Phosphorous, total",mg/L,8,2013,0.11,0.07,0.19,Salt Creek,-9797375.60963822,5165675.359292448
56,Indiana Avenue,Little Calumet River at Indiana Avenue,"Phosphorous, total",mg/L,8,2013,0.51,0.06,2.23,Little Calumet River,-9753472.181457821,5108772.571885121
92,Lockport Powerhouse,Chicago Sanitary and Ship Canal at Lockport Powerhouse Forebay,"Phosphorous, total",mg/L,51,2013,0.89,0.25,1.91,Chicago Sanitary and Ship Canal,-9804834.016711399,5096870.642820761
108,Loomis Street,South Branch Chicago River at Loomis Street,"Phosphorous, total",mg/L,12,2013,0.68,0.28,1.3,South Branch Chicago River,-9758326.630046986,5137947.951214144
91,Material Service Road,Des Plaines River at Material Service Road,"Phosphorous, total",mg/L,12,2013,0.66,0.31,1.42,Des Plaines River,-9803757.593335949,5100729.017568359
22,Ogden Avenue,Des Plaines River at Ogden Avenue,"Phosphorous, total",mg/L,12,2013,0.82,0.36,1.55,Des Plaines River,-9775033.160497827,5134155.08934849
43,Route 83,Calumet-Sag Channel at Route 83,"Phosphorous, total",mg/L,11,2013,1.5,0.56,3.12,Calumet-Sag Channel,-9789029.93158179,5115601.921870255
110,Springinsguth Rd.,West Branch DuPage River at Springinsguth Road,"Phosphorous, total",mg/L,8,2013,0.22,0.08,0.44,West Branch Du Page River,-9809372.143319122,5162219.006850576
48,Stephen Street,Chicago Sanitary and Ship Canal at Stephen Street,"Phosphorous, total",mg/L,12,2013,1.02,0.28,1.84,Chicago Sanitary and Ship Canal,-9796052.154215598,5113077.68374999
36,Touhy Avenue,North Shore Channel at Touhy Avenue,"Phosphorous, total",mg/L,11,2013,1.16,0.3,1.88,North Shore Channel,-9763880.193364626,5162772.158302309
100,Wells Street,Chicago River at Wells Street,"Phosphorous, total",mg/L,12,2013,0.57,0.17,1.27,Chicago River,-9755339.676982595,5144145.544547021
78,Wille Road,Higgins Creek at Wille Road,"Phosphorous, total",mg/L,12,2013,1.12,0.17,2.36,Higgins Creek,-9789066.534741784,5163778.873133089
23,Willow Springs Road,Des Plaines River at Willow Springs Road,"Phosphorous, total",mg/L,11,2013,0.67,0.31,1.17,Des Plaines River,-9782918.22214516,5121485.94585754
55,130th Street,Calumet River at 130th Street,"Phosphorous, total",mg/L,7,2012,0.04,0.02,0.1,Calumet River,-9748530.69045206,5110104.230203494
97,170th Street,Thorn Creek at 170th Street,"Phosphorous, total",mg/L,6,2012,1.1,0.32,3.13,Thorn Creek,-9748874.28283881,5099238.777878965
96,Albany Avenue,North Branch Chicago River at Albany Avenue,"Phosphorous, total",mg/L,12,2012,0.61,0.24,1.33,North Branch Chicago River,-9764088.462110577,5156857.124687181
99,Archer Avenue,Bubbly Creek at Archer Avenue,"Phosphorous, total",mg/L,12,2012,0.65,0.22,1.09,Bubbly Creek,-9758696.948071491,5136817.240627698
111,Arlington Dr.,West Branch DuPage River at Arlington Drive,"Phosphorous, total",mg/L,12,2012,2.36,0.56,3.37,West Branch DuPage River,-9811547.219382191,5157233.888994125
80,Arlington Heights Road,Salt Creek at Arlington Heights Road,"Phosphorous, total",mg/L,7,2012,1.4,0.41,4.5,Salt Creek,-9796254.99295483,5162818.28541295
58,Ashland Avenue,Calumet-Sag Channel at Ashland Avenue,"Phosphorous, total",mg/L,7,2012,2.51,1.29,3.92,Calumet-Sag Channel,-9758306.686186207,5109440.062465825
57,Ashland Avenue,Little Calumet River at Ashland Avenue,"Phosphorous, total",mg/L,11,2012,1.08,0.27,4.02,Little Calumet River,-9758345.734333793,5108959.791525536
19,Belmont Avenue,Des Plaines River at Belmont Avenue,"Phosphorous, total",mg/L,12,2012,1.06,0.2,1.95,Des Plaines River,-9779371.53102385,5151588.097147647
109,Brookfield Avenue,Salt Creek at Brookfield Avenue,"Phosphorous, total",mg/L,12,2012,1.34,0.5,2.61,Salt Creek,-9778479.118246686,5134478.740255858
50,Burnham Avenue ,Wolf Lake Drain at Burnham Avenue,"Phosphorous, total",mg/L,7,2012,0.06,0.05,0.09,Wolf Lake Drain,-9744778.986089032,5110875.941051556
86,Burnham Avenue,Grand Calumet River at Burnham Avenue,"Phosphorous, total",mg/L,11,2012,1.29,0.16,2.88,Grand Calumet River,-9744810.951107476,5105915.20396417
35,Central Street,North Shore Channel at Central Street,"Phosphorous, total",mg/L,5,2012,0.1,0.05,0.25,North Shore Channel,-9761286.946422856,5170628.6171330195
75,Cicero Avenue,Chicago Sanitary and Ship Canal at Cicero Avenue,"Phosphorous, total",mg/L,12,2012,0.93,0.27,1.65,Chicago Sanitary and Ship Canal,-9767527.508297497,5134013.305608013
59,Cicero Avenue,Calumet-Sag Channel at Cicero Avenue,"Phosphorous, total",mg/L,10,2012,2.87,0.94,5.75,Calumet-Sag Channel,-9766975.298081215,5109491.834437173
40,Damen Avenue,Chicago Sanitary and Ship Canal at Damen Avenue,"Phosphorous, total",mg/L,7,2012,0.82,0.33,1.25,Chicago Sanitary and Ship Canal,-9759974.102935709,5137287.498239143
112,Dempster St.,North Shore Channel at Dempster Street,"Phosphorous, total",mg/L,5,2012,0.75,0.29,1.27,North Shore Channel,-9763803.492506059,5167131.2098396
34,Dempster Street,North Branch Chicago River at Dempster Street,"Phosphorous, total",mg/L,7,2012,0.63,0.33,1.03,North Branch Chicago River,-9772519.197048591,5167261.607014383
18,Devon Avenue,Salt Creek at Devon Avenue,"Phosphorous, total",mg/L,12,2012,2.08,0.4,4.54,Salt Creek,-9795587.075606022,5159923.790866642
73,Diversey Parkway,North Branch Chicago River at Diversey Parkway,"Phosphorous, total",mg/L,12,2012,1.2,0.64,2.11,North Branch Chicago River,-9760793.273420712,5150867.342273781
106,Dundee Road,West Fork North Branch Chicago River at Dundee Road,"Phosphorous, total",mg/L,5,2012,1.15,0.4,1.88,West Fork North Branch Chicago River,-9777719.3660057,5181767.818476338
77,Elmhurst Road,Higgins Creek at Elmhurst Road,"Phosphorous, total",mg/L,8,2012,0.15,0.04,0.35,Higgins Creek,-9789503.463971145,5164194.269628853
49,Ewing Avenue,Calumet River at Ewing Avenue,"Phosphorous, total",mg/L,6,2012,0.13,&lt RL,0.58,Calumet River,-9745075.86152176,5120263.120285954
101,Foster Avenue,North Shore Channel at Foster Avenue,"Phosphorous, total",mg/L,7,2012,1.3,1.04,1.41,North Shore Channel,-9763248.504184216,5157380.484896455
105,Frontage Road,Skokie River at Frontage Road,"Phosphorous, total",mg/L,7,2012,0.92,0.37,1.87,Skokie River,-9769467.187323028,5174142.560835846
104,Glenview Road,North Branch Chicago River at Glenview Road,"Phosphorous, total",mg/L,7,2012,0.74,0.26,1.77,North Branch Chicago River,-9770990.71844705,5171319.185344051
103,Golf Road,West Fork North Branch Chicago River at Golf Road,"Phosphorous, total",mg/L,7,2012,0.59,0.23,1.2,West Fork North Branch Chicago River,-9771841.694236573,5169273.313312094
46,Grand Avenue,North Branch Chicago River at Grand Avenue,"Phosphorous, total",mg/L,7,2012,1.03,0.57,1.32,North Branch Chicago River,-9756156.248665709,5144758.297382973
76,Halsted Street,Little Calumet River at Halsted Street,"Phosphorous, total",mg/L,11,2012,2.85,1.67,4.09,Little Calumet River,-9756147.689317683,5109826.122291395
41,Harlem Avenue,Chicago Sanitary and Ship Canal at Harlem Avenue,"Phosphorous, total",mg/L,12,2012,1.07,0.26,2.06,Chicago Sanitary and Ship Canal,-9774026.337077957,5131234.839862472
79,Higgins Road,Salt Creek at Higgins Road,"Phosphorous, total",mg/L,11,2012,0.11,0.04,0.2,Salt Creek,-9797375.60963822,5165675.359292448
56,Indiana Avenue,Little Calumet River at Indiana Avenue,"Phosphorous, total",mg/L,10,2012,0.75,0.04,2.49,Little Calumet River,-9753472.181457821,5108772.571885121
54,Joe Orr Road,Thorn Creek at Joe Orr Road,"Phosphorous, total",mg/L,7,2012,1.43,0.71,3.62,Thorn Creek,-9754419.852949658,5089457.720876058
74,Lake Shore Drive,Chicago River at Lake Shore Drive,"Phosphorous, total",mg/L,6,2012,0.31,0.02,0.56,Chicago River,-9753112.184339533,5144283.186382862
12,Lake-Cook Road,Buffalo Creek at Lake-Cook Road,"Phosphorous, total",mg/L,6,2012,0.12,&lt RL,0.37,Buffalo Creek,-9792683.493154097,5183751.728609537
13,Lake-Cook Road,Des Plaines River at Lake-Cook Road,"Phosphorous, total",mg/L,7,2012,0.72,0.21,2.4,Des Plaines River,-9786103.272410415,5183885.200209065
32,Lake-Cook Road,Skokie River at Lake-Cook Road,"Phosphorous, total",mg/L,6,2012,0.16,0.07,0.27,Skokie River,-9773171.65434657,5183881.030230567
31,Lake-Cook Road,Middle Fork North Branch Chicago River at Lake-Cook Road,"Phosphorous, total",mg/L,4,2012,0.1,0.05,0.18,Middle Fork North Branch Chicago River,-9775428.966959778,5183330.473761027
92,Lockport Powerhouse,Chicago Sanitary and Ship Canal at Lockport Powerhouse Forebay,"Phosphorous, total",mg/L,51,2012,1.26,0.48,2.53,Chicago Sanitary and Ship Canal,-9804834.016711399,5096870.642820761
108,Loomis Street,South Branch Chicago River at Loomis Street,"Phosphorous, total",mg/L,12,2012,0.85,0.35,1.25,South Branch Chicago River,-9758326.630046986,5137947.951214144
39,Madison Street,South Branch Chicago River at Madison Street,"Phosphorous, total",mg/L,6,2012,0.87,0.36,1.14,South Branch Chicago River,-9755836.894673718,5143332.001117509
91,Material Service Road,Des Plaines River at Material Service Road,"Phosphorous, total",mg/L,12,2012,0.82,0.27,1.56,Des Plaines River,-9803757.593335949,5100729.017568359
102,Oakton Street,North Shore Channel at Oakton Street,"Phosphorous, total",mg/L,7,2012,0.84,0.06,1.38,North Shore Channel,-9763838.713194087,5164984.791142569
17,Oakton Street,Des Plaines River at Oakton Street,"Phosphorous, total",mg/L,7,2012,0.63,0.18,2.08,Des Plaines River,-9782189.77125312,5164756.208222484
22,Ogden Avenue,Des Plaines River at Ogden Avenue,"Phosphorous, total",mg/L,12,2012,1.12,0.26,2.14,Des Plaines River,-9775033.160497827,5134155.08934849
20,Roosevelt Road,Des Plaines River at Roosevelt Road,"Phosphorous, total",mg/L,7,2012,0.58,0.2,1.57,Des Plaines River,-9776892.815460142,5140724.864266957
90,Route 19,Poplar Creek at Route 19,"Phosphorous, total",mg/L,7,2012,0.09,0.03,0.15,Poplar Creek,-9823047.74711789,5165577.94301833
42,Route 83,Chicago Sanitary and Ship Canal at Route 83,"Phosphorous, total",mg/L,7,2012,0.78,0.34,1.17,Chicago Sanitary and Ship Canal,-9789421.360370245,5116449.74955103
43,Route 83,Calumet-Sag Channel at Route 83,"Phosphorous, total",mg/L,11,2012,1.75,0.7,2.69,Calumet-Sag Channel,-9789029.93158179,5115601.921870255
110,Springinsguth Rd.,West Branch DuPage River at Springinsguth Road,"Phosphorous, total",mg/L,11,2012,0.29,0.06,0.64,West Branch Du Page River,-9809372.143319122,5162219.006850576
29,Stephen Street,Des Plaines River at Stephen Street,"Phosphorous, total",mg/L,7,2012,0.62,0.27,1.45,Des Plaines River,-9796385.089554068,5113414.579669373
48,Stephen Street,Chicago Sanitary and Ship Canal at Stephen Street,"Phosphorous, total",mg/L,12,2012,1.33,0.86,2.32,Chicago Sanitary and Ship Canal,-9796052.154215598,5113077.68374999
36,Touhy Avenue,North Shore Channel at Touhy Avenue,"Phosphorous, total",mg/L,12,2012,1.31,0.76,2.29,North Shore Channel,-9763880.193364626,5162772.158302309
89,Walnut Street,West Branch Du Page River at Walnut Street,"Phosphorous, total",mg/L,7,2012,2.16,0.64,3.33,West Branch Du Page River,-9811290.549648687,5160344.011074602
100,Wells Street,Chicago River at Wells Street,"Phosphorous, total",mg/L,11,2012,0.68,0.24,1.13,Chicago River,-9755339.676982595,5144145.544547021
52,Wentworth Avenue,Little Calumet River at Wentworth Avenue,"Phosphorous, total",mg/L,7,2012,0.68,0.29,1.15,Little Calumet River,-9743762.861862704,5099049.677060608
78,Wille Road,Higgins Creek at Wille Road,"Phosphorous, total",mg/L,11,2012,1.38,0.28,3.07,Higgins Creek,-9789066.534741784,5163778.873133089
23,Willow Springs Road,Des Plaines River at Willow Springs Road,"Phosphorous, total",mg/L,12,2012,1.01,0.26,1.95,Des Plaines River,-9782918.22214516,5121485.94585754
37,Wilson Avenue,North Branch Chicago River at Wilson Avenue,"Phosphorous, total",mg/L,6,2012,1.16,0.92,1.4,North Branch Chicago River,-9762427.895694703,5155720.021993471
24,Wolf Road,Salt Creek at Wolf Road,"Phosphorous, total",mg/L,7,2012,1.1,0.44,2.43,Salt Creek,-9785016.345950183,5134927.534095098
55,130th Street,Calumet River at 130th Street,"Phosphorous, total",mg/L,10,2011,0.03,&lt RL,0.08,Calumet River,-9748530.69045206,5110104.230203494
97,170th Street,Thorn Creek at 170th Street,"Phosphorous, total",mg/L,10,2011,0.76,0.25,1.86,Thorn Creek,-9748874.28283881,5099238.777878965
96,Albany Avenue,North Branch Chicago River at Albany Avenue,"Phosphorous, total",mg/L,11,2011,0.49,0.2,1.15,North Branch Chicago River,-9764088.462110577,5156857.124687181
99,Archer Avenue,Bubbly Creek at Archer Avenue,"Phosphorous, total",mg/L,12,2011,0.67,0.29,1.19,Bubbly Creek,-9758696.948071491,5136817.240627698
111,Arlington Dr.,West Branch DuPage River at Arlington Drive,"Phosphorous, total",mg/L,12,2011,1.67,0.54,2.9,West Branch DuPage River,-9811547.219382191,5157233.888994125
80,Arlington Heights Road,Salt Creek at Arlington Heights Road,"Phosphorous, total",mg/L,11,2011,1.01,0.14,2.68,Salt Creek,-9796254.99295483,5162818.28541295
57,Ashland Avenue,Little Calumet River at Ashland Avenue,"Phosphorous, total",mg/L,10,2011,0.49,0.23,1.04,Little Calumet River,-9758345.734333793,5108959.791525536
58,Ashland Avenue,Calumet-Sag Channel at Ashland Avenue,"Phosphorous, total",mg/L,11,2011,1.4,0.42,3.36,Calumet-Sag Channel,-9758306.686186207,5109440.062465825
19,Belmont Avenue,Des Plaines River at Belmont Avenue,"Phosphorous, total",mg/L,11,2011,0.58,0.19,1.24,Des Plaines River,-9779371.53102385,5151588.097147647
109,Brookfield Avenue,Salt Creek at Brookfield Avenue,"Phosphorous, total",mg/L,11,2011,0.91,0.29,1.89,Salt Creek,-9778479.118246686,5134478.740255858
50,Burnham Avenue ,Wolf Lake Drain at Burnham Avenue,"Phosphorous, total",mg/L,11,2011,0.04,&lt RL,0.12,Wolf Lake Drain,-9744778.986089032,5110875.941051556
86,Burnham Avenue,Grand Calumet River at Burnham Avenue,"Phosphorous, total",mg/L,10,2011,0.75,0.24,1.73,Grand Calumet River,-9744810.951107476,5105915.20396417
35,Central Street,North Shore Channel at Central Street,"Phosphorous, total",mg/L,8,2011,0.1,&lt RL,0.33,North Shore Channel,-9761286.946422856,5170628.6171330195
75,Cicero Avenue,Chicago Sanitary and Ship Canal at Cicero Avenue,"Phosphorous, total",mg/L,12,2011,0.6,0.25,1.11,Chicago Sanitary and Ship Canal,-9767527.508297497,5134013.305608013
59,Cicero Avenue,Calumet-Sag Channel at Cicero Avenue,"Phosphorous, total",mg/L,11,2011,1.58,0.38,3.39,Calumet-Sag Channel,-9766975.298081215,5109491.834437173
40,Damen Avenue,Chicago Sanitary and Ship Canal at Damen Avenue,"Phosphorous, total",mg/L,12,2011,0.7,0.31,1.26,Chicago Sanitary and Ship Canal,-9759974.102935709,5137287.498239143
34,Dempster Street,North Branch Chicago River at Dempster Street,"Phosphorous, total",mg/L,11,2011,0.62,0.24,1.29,North Branch Chicago River,-9772519.197048591,5167261.607014383
18,Devon Avenue,Salt Creek at Devon Avenue,"Phosphorous, total",mg/L,11,2011,1.29,0.23,2.96,Salt Creek,-9795587.075606022,5159923.790866642
73,Diversey Parkway,North Branch Chicago River at Diversey Parkway,"Phosphorous, total",mg/L,12,2011,0.95,0.45,1.46,North Branch Chicago River,-9760793.273420712,5150867.342273781
