Station Number,Station Name,Station Description,Parameter Name,Parameter Description,Units of Measure,Year,Result Count,Result Average,Result Min,Result Max,Waterway,x,y
54,Joe Orr Road,Thorn Creek at Joe Orr Road,TDS,Total Dissolved Solids,mg/L,2001,10,1131,452,1534,Thorn Creek,-9754419.852949658,5089457.720876058
55,130th Street,Calumet River at 130th Street,TDS,Total Dissolved Solids,mg/L,2001,10,362,234,542,Calumet River,-9748530.69045206,5110104.230203494
56,Indiana Avenue,Little Calumet River at Indiana Avenue,TDS,Total Dissolved Solids,mg/L,2001,8,385,198,554,Little Calumet River,-9753472.181457821,5108772.571885121
57,Ashland Avenue,Little Calumet River at Ashland Avenue,TDS,Total Dissolved Solids,mg/L,2001,9,705,432,1192,Little Calumet River,-9758345.734333793,5108959.791525536
58,Ashland Avenue,Calumet-Sag Channel at Ashland Avenue,TDS,Total Dissolved Solids,mg/L,2001,10,568,406,826,Calumet-Sag Channel,-9758306.686186207,5109440.062465825
59,Cicero Avenue,Calumet-Sag Channel at Cicero Avenue,TDS,Total Dissolved Solids,mg/L,2001,10,552,226,904,Calumet-Sag Channel,-9766975.298081215,5109491.834437173
64,Lake Street,West Branch Du Page River at Lake Street,TDS,Total Dissolved Solids,mg/L,2001,10,579,462,722,West Branch Du Page River,-9810939.89297938,5157781.364521299
73,Diversey Parkway,North Branch Chicago River at Diversey Parkway,TDS,Total Dissolved Solids,mg/L,2001,10,516,404,800,North Branch Chicago River,-9760793.273420712,5150867.342273781
74,Lake Shore Drive,Chicago River at Lake Shore Drive,TDS,Total Dissolved Solids,mg/L,2001,10,335,170,600,Chicago River,-9753112.184339533,5144283.186382862
75,Cicero Avenue,Chicago Sanitary and Ship Canal at Cicero Avenue,TDS,Total Dissolved Solids,mg/L,2001,10,413,242,680,Chicago Sanitary and Ship Canal,-9767527.508297497,5134013.305608013
76,Halsted Street,Little Calumet River at Halsted Street,TDS,Total Dissolved Solids,mg/L,2001,10,529,290,992,Little Calumet River,-9756147.689317683,5109826.122291395
77,Elmhurst Road,Higgins Creek at Elmhurst Road,TDS,Total Dissolved Solids,mg/L,2001,9,813,496,1596,Higgins Creek,-9789503.463971145,5164194.269628853
78,Wille Road,Higgins Creek at Wille Road,TDS,Total Dissolved Solids,mg/L,2001,10,726,630,882,Higgins Creek,-9789066.534741784,5163778.873133089
79,Higgins Road,Salt Creek at Higgins Road,TDS,Total Dissolved Solids,mg/L,2001,10,862,536,1458,Salt Creek,-9797375.60963822,5165675.359292448
80,Arlington Heights Road,Salt Creek at Arlington Heights Road,TDS,Total Dissolved Solids,mg/L,2001,10,649,486,882,Salt Creek,-9796254.99295483,5162818.28541295
86,Burnham Avenue,Grand Calumet River at Burnham Avenue,TDS,Total Dissolved Solids,mg/L,2001,9,752,604,924,Grand Calumet River,-9744810.951107476,5105915.20396417
89,Walnut Street,West Branch Du Page River at Walnut Street,TDS,Total Dissolved Solids,mg/L,2001,10,557,444,710,West Branch Du Page River,-9811290.549648687,5160344.011074602
90,Route 19,Poplar Creek at Route 19,TDS,Total Dissolved Solids,mg/L,2001,10,703,476,986,Poplar Creek,-9823047.74711789,5165577.94301833
91,Material Service Road,Des Plaines River at Material Service Road,TDS,Total Dissolved Solids,mg/L,2001,45,598,296,914,Des Plaines River,-9803757.593335949,5100729.017568359
92,Lockport Powerhouse,Chicago Sanitary and Ship Canal at Lockport Powerhouse Forebay,TDS,Total Dissolved Solids,mg/L,2001,45,543,278,950,Chicago Sanitary and Ship Canal,-9804834.016711399,5096870.642820761
96,Albany Avenue,North Branch Chicago River at Albany Avenue,TDS,Total Dissolved Solids,mg/L,2001,11,624,262,1140,North Branch Chicago River,-9764088.462110577,5156857.124687181
97,170th Street,Thorn Creek at 170th Street,TDS,Total Dissolved Solids,mg/L,2001,10,822,390,1252,Thorn Creek,-9748874.28283881,5099238.777878965
99,Archer Avenue,Bubbly Creek at Archer Avenue,TDS,Total Dissolved Solids,mg/L,2001,10,431,250,690,Bubbly Creek,-9758696.948071491,5136817.240627698
100,Wells Street,Chicago River at Wells Street,TDS,Total Dissolved Solids,mg/L,2002,12,360,168,748,Chicago River,-9755339.676982595,5144145.544547021
101,Foster Avenue,North Shore Channel at Foster Avenue,TDS,Total Dissolved Solids,mg/L,2002,12,463,376,754,North Shore Channel,-9763248.504184216,5157380.484896455
102,Oakton Street,North Shore Channel at Oakton Street,TDS,Total Dissolved Solids,mg/L,2002,11,395,178,808,North Shore Channel,-9763838.713194087,5164984.791142569
103,Golf Road,West Fork North Branch Chicago River at Golf Road,TDS,Total Dissolved Solids,mg/L,2002,11,721,400,1226,West Fork North Branch Chicago River,-9771841.694236573,5169273.313312094
104,Glenview Road,North Branch Chicago River at Glenview Road,TDS,Total Dissolved Solids,mg/L,2002,9,605,446,980,North Branch Chicago River,-9770990.71844705,5171319.185344051
105,Frontage Road,Skokie River at Frontage Road,TDS,Total Dissolved Solids,mg/L,2002,12,584,280,1040,Skokie River,-9769467.187323028,5174142.560835846
106,Dundee Road,West Fork North Branch Chicago River at Dundee Road,TDS,Total Dissolved Solids,mg/L,2002,6,886,598,1256,West Fork North Branch Chicago River,-9777719.3660057,5181767.818476338
108,Loomis Street,South Branch Chicago River at Loomis Street,TDS,Total Dissolved Solids,mg/L,2002,12,463,280,792,South Branch Chicago River,-9758326.630046986,5137947.951214144
109,Brookfield Avenue,Salt Creek at Brookfield Avenue,TDS,Total Dissolved Solids,mg/L,2002,6,547,346,694,Salt Creek,-9778479.118246686,5134478.740255858
12,Lake-Cook Road,Buffalo Creek at Lake-Cook Road,TDS,Total Dissolved Solids,mg/L,2002,7,731,492,950,Buffalo Creek,-9792683.493154097,5183751.728609537
13,Lake-Cook Road,Des Plaines River at Lake-Cook Road,TDS,Total Dissolved Solids,mg/L,2002,12,678,466,824,Des Plaines River,-9786103.272410415,5183885.200209065
17,Oakton Street,Des Plaines River at Oakton Street,TDS,Total Dissolved Solids,mg/L,2002,11,704,414,1018,Des Plaines River,-9782189.77125312,5164756.208222484
18,Devon Avenue,Salt Creek at Devon Avenue,TDS,Total Dissolved Solids,mg/L,2002,10,632,382,956,Salt Creek,-9795587.075606022,5159923.790866642
19,Belmont Avenue,Des Plaines River at Belmont Avenue,TDS,Total Dissolved Solids,mg/L,2002,12,730,372,1276,Des Plaines River,-9779371.53102385,5151588.097147647
20,Roosevelt Road,Des Plaines River at Roosevelt Road,TDS,Total Dissolved Solids,mg/L,2002,12,743,364,1494,Des Plaines River,-9776892.815460142,5140724.864266957
22,Ogden Avenue,Des Plaines River at Ogden Avenue,TDS,Total Dissolved Solids,mg/L,2002,12,790,370,1828,Des Plaines River,-9775033.160497827,5134155.08934849
23,Willow Springs Road,Des Plaines River at Willow Springs Road,TDS,Total Dissolved Solids,mg/L,2002,10,708,386,1040,Des Plaines River,-9782918.22214516,5121485.94585754
24,Wolf Road,Salt Creek at Wolf Road,TDS,Total Dissolved Solids,mg/L,2002,12,750,376,1636,Salt Creek,-9785016.345950183,5134927.534095098
29,Stephen Street,Des Plaines River at Stephen Street,TDS,Total Dissolved Solids,mg/L,2002,12,726,416,1206,Des Plaines River,-9796385.089554068,5113414.579669373
31,Lake-Cook Road,Middle Fork North Branch Chicago River at Lake-Cook Road,TDS,Total Dissolved Solids,mg/L,2002,10,663,530,820,Middle Fork North Branch Chicago River,-9775428.966959778,5183330.473761027
32,Lake-Cook Road,Skokie River at Lake-Cook Road,TDS,Total Dissolved Solids,mg/L,2002,10,643,464,960,Skokie River,-9773171.65434657,5183881.030230567
34,Dempster Street,North Branch Chicago River at Dempster Street,TDS,Total Dissolved Solids,mg/L,2002,12,658,424,1038,North Branch Chicago River,-9772519.197048591,5167261.607014383
35,Central Street,North Shore Channel at Central Street,TDS,Total Dissolved Solids,mg/L,2002,9,309,164,744,North Shore Channel,-9761286.946422856,5170628.6171330195
36,Touhy Avenue,North Shore Channel at Touhy Avenue,TDS,Total Dissolved Solids,mg/L,2002,12,446,334,708,North Shore Channel,-9763880.193364626,5162772.158302309
37,Wilson Avenue,North Branch Chicago River at Wilson Avenue,TDS,Total Dissolved Solids,mg/L,2002,12,501,392,818,North Branch Chicago River,-9762427.895694703,5155720.021993471
39,Madison Street,South Branch Chicago River at Madison Street,TDS,Total Dissolved Solids,mg/L,2002,12,450,260,762,South Branch Chicago River,-9755836.894673718,5143332.001117509
41,Harlem Avenue,Chicago Sanitary and Ship Canal at Harlem Avenue,TDS,Total Dissolved Solids,mg/L,2002,12,495,304,772,Chicago Sanitary and Ship Canal,-9774026.337077957,5131234.839862472
42,Route 83,Chicago Sanitary and Ship Canal at Route 83,TDS,Total Dissolved Solids,mg/L,2002,12,546,310,764,Chicago Sanitary and Ship Canal,-9789421.360370245,5116449.74955103
43,Route 83,Calumet-Sag Channel at Route 83,TDS,Total Dissolved Solids,mg/L,2002,12,595,318,844,Calumet-Sag Channel,-9789029.93158179,5115601.921870255
46,Grand Avenue,North Branch Chicago River at Grand Avenue,TDS,Total Dissolved Solids,mg/L,2002,12,485,276,834,North Branch Chicago River,-9756156.248665709,5144758.297382973
48,Stephen Street,Chicago Sanitary and Ship Canal at Stephen Street,TDS,Total Dissolved Solids,mg/L,2002,12,566,408,816,Chicago Sanitary and Ship Canal,-9796052.154215598,5113077.68374999
49,Ewing Avenue,Calumet River at Ewing Avenue,TDS,Total Dissolved Solids,mg/L,2002,12,261,178,364,Calumet River,-9745075.86152176,5120263.120285954
50,Burnham Avenue ,Wolf Lake Drain at Burnham Avenue,TDS,Total Dissolved Solids,mg/L,2002,12,243,134,296,Wolf Lake Drain,-9744778.986089032,5110875.941051556
52,Wentworth Avenue,Little Calumet River at Wentworth Avenue,TDS,Total Dissolved Solids,mg/L,2002,11,808,542,1028,Little Calumet River,-9743762.861862704,5099049.677060608
54,Joe Orr Road,Thorn Creek at Joe Orr Road,TDS,Total Dissolved Solids,mg/L,2002,7,1594,1024,2134,Thorn Creek,-9754419.852949658,5089457.720876058
55,130th Street,Calumet River at 130th Street,TDS,Total Dissolved Solids,mg/L,2002,12,329,218,528,Calumet River,-9748530.69045206,5110104.230203494
56,Indiana Avenue,Little Calumet River at Indiana Avenue,TDS,Total Dissolved Solids,mg/L,2002,12,447,218,742,Little Calumet River,-9753472.181457821,5108772.571885121
57,Ashland Avenue,Little Calumet River at Ashland Avenue,TDS,Total Dissolved Solids,mg/L,2002,12,892,440,1272,Little Calumet River,-9758345.734333793,5108959.791525536
58,Ashland Avenue,Calumet-Sag Channel at Ashland Avenue,TDS,Total Dissolved Solids,mg/L,2002,12,683,428,1150,Calumet-Sag Channel,-9758306.686186207,5109440.062465825
59,Cicero Avenue,Calumet-Sag Channel at Cicero Avenue,TDS,Total Dissolved Solids,mg/L,2002,12,597,384,852,Calumet-Sag Channel,-9766975.298081215,5109491.834437173
64,Lake Street,West Branch Du Page River at Lake Street,TDS,Total Dissolved Solids,mg/L,2002,12,627,308,1302,West Branch Du Page River,-9810939.89297938,5157781.364521299
73,Diversey Parkway,North Branch Chicago River at Diversey Parkway,TDS,Total Dissolved Solids,mg/L,2002,12,495,330,814,North Branch Chicago River,-9760793.273420712,5150867.342273781
74,Lake Shore Drive,Chicago River at Lake Shore Drive,TDS,Total Dissolved Solids,mg/L,2002,12,310,162,534,Chicago River,-9753112.184339533,5144283.186382862
75,Cicero Avenue,Chicago Sanitary and Ship Canal at Cicero Avenue,TDS,Total Dissolved Solids,mg/L,2002,12,483,284,866,Chicago Sanitary and Ship Canal,-9767527.508297497,5134013.305608013
76,Halsted Street,Little Calumet River at Halsted Street,TDS,Total Dissolved Solids,mg/L,2002,12,532,324,712,Little Calumet River,-9756147.689317683,5109826.122291395
77,Elmhurst Road,Higgins Creek at Elmhurst Road,TDS,Total Dissolved Solids,mg/L,2002,6,922,312,2250,Higgins Creek,-9789503.463971145,5164194.269628853
78,Wille Road,Higgins Creek at Wille Road,TDS,Total Dissolved Solids,mg/L,2002,12,757,244,1534,Higgins Creek,-9789066.534741784,5163778.873133089
79,Higgins Road,Salt Creek at Higgins Road,TDS,Total Dissolved Solids,mg/L,2002,8,708,348,1158,Salt Creek,-9797375.60963822,5165675.359292448
80,Arlington Heights Road,Salt Creek at Arlington Heights Road,TDS,Total Dissolved Solids,mg/L,2002,10,658,382,1020,Salt Creek,-9796254.99295483,5162818.28541295
86,Burnham Avenue,Grand Calumet River at Burnham Avenue,TDS,Total Dissolved Solids,mg/L,2002,11,858,286,1146,Grand Calumet River,-9744810.951107476,5105915.20396417
89,Walnut Street,West Branch Du Page River at Walnut Street,TDS,Total Dissolved Solids,mg/L,2002,12,575,400,1080,West Branch Du Page River,-9811290.549648687,5160344.011074602
90,Route 19,Poplar Creek at Route 19,TDS,Total Dissolved Solids,mg/L,2002,9,692,420,1384,Poplar Creek,-9823047.74711789,5165577.94301833
91,Material Service Road,Des Plaines River at Material Service Road,TDS,Total Dissolved Solids,mg/L,2002,12,758,386,1596,Des Plaines River,-9803757.593335949,5100729.017568359
92,Lockport Powerhouse,Chicago Sanitary and Ship Canal at Lockport Powerhouse Forebay,TDS,Total Dissolved Solids,mg/L,2002,51,561,304,1136,Chicago Sanitary and Ship Canal,-9804834.016711399,5096870.642820761
96,Albany Avenue,North Branch Chicago River at Albany Avenue,TDS,Total Dissolved Solids,mg/L,2002,12,700,414,1338,North Branch Chicago River,-9764088.462110577,5156857.124687181
97,170th Street,Thorn Creek at 170th Street,TDS,Total Dissolved Solids,mg/L,2002,12,1261,630,1956,Thorn Creek,-9748874.28283881,5099238.777878965
99,Archer Avenue,Bubbly Creek at Archer Avenue,TDS,Total Dissolved Solids,mg/L,2002,12,462,292,798,Bubbly Creek,-9758696.948071491,5136817.240627698
100,Wells Street,Chicago River at Wells Street,TDS,Total Dissolved Solids,mg/L,2003,12,403,162,964,Chicago River,-9755339.676982595,5144145.544547021
101,Foster Avenue,North Shore Channel at Foster Avenue,TDS,Total Dissolved Solids,mg/L,2003,12,460,324,840,North Shore Channel,-9763248.504184216,5157380.484896455
102,Oakton Street,North Shore Channel at Oakton Street,TDS,Total Dissolved Solids,mg/L,2003,10,339,180,724,North Shore Channel,-9763838.713194087,5164984.791142569
103,Golf Road,West Fork North Branch Chicago River at Golf Road,TDS,Total Dissolved Solids,mg/L,2003,9,837,572,1428,West Fork North Branch Chicago River,-9771841.694236573,5169273.313312094
104,Glenview Road,North Branch Chicago River at Glenview Road,TDS,Total Dissolved Solids,mg/L,2003,3,703,566,950,North Branch Chicago River,-9770990.71844705,5171319.185344051
105,Frontage Road,Skokie River at Frontage Road,TDS,Total Dissolved Solids,mg/L,2003,12,617,418,922,Skokie River,-9769467.187323028,5174142.560835846
106,Dundee Road,West Fork North Branch Chicago River at Dundee Road,TDS,Total Dissolved Solids,mg/L,2003,3,595,512,680,West Fork North Branch Chicago River,-9777719.3660057,5181767.818476338
108,Loomis Street,South Branch Chicago River at Loomis Street,TDS,Total Dissolved Solids,mg/L,2003,12,482,284,922,South Branch Chicago River,-9758326.630046986,5137947.951214144
109,Brookfield Avenue,Salt Creek at Brookfield Avenue,TDS,Total Dissolved Solids,mg/L,2003,10,650,328,1192,Salt Creek,-9778479.118246686,5134478.740255858
12,Lake-Cook Road,Buffalo Creek at Lake-Cook Road,TDS,Total Dissolved Solids,mg/L,2003,8,717,542,1190,Buffalo Creek,-9792683.493154097,5183751.728609537
13,Lake-Cook Road,Des Plaines River at Lake-Cook Road,TDS,Total Dissolved Solids,mg/L,2003,13,681,460,882,Des Plaines River,-9786103.272410415,5183885.200209065
17,Oakton Street,Des Plaines River at Oakton Street,TDS,Total Dissolved Solids,mg/L,2003,10,620,264,866,Des Plaines River,-9782189.77125312,5164756.208222484
18,Devon Avenue,Salt Creek at Devon Avenue,TDS,Total Dissolved Solids,mg/L,2003,12,694,482,1384,Salt Creek,-9795587.075606022,5159923.790866642
19,Belmont Avenue,Des Plaines River at Belmont Avenue,TDS,Total Dissolved Solids,mg/L,2003,12,708,326,1654,Des Plaines River,-9779371.53102385,5151588.097147647
20,Roosevelt Road,Des Plaines River at Roosevelt Road,TDS,Total Dissolved Solids,mg/L,2003,7,605,350,906,Des Plaines River,-9776892.815460142,5140724.864266957
22,Ogden Avenue,Des Plaines River at Ogden Avenue,TDS,Total Dissolved Solids,mg/L,2003,5,660,344,994,Des Plaines River,-9775033.160497827,5134155.08934849
23,Willow Springs Road,Des Plaines River at Willow Springs Road,TDS,Total Dissolved Solids,mg/L,2003,10,637,370,1008,Des Plaines River,-9782918.22214516,5121485.94585754
24,Wolf Road,Salt Creek at Wolf Road,TDS,Total Dissolved Solids,mg/L,2003,12,696,346,1372,Salt Creek,-9785016.345950183,5134927.534095098
29,Stephen Street,Des Plaines River at Stephen Street,TDS,Total Dissolved Solids,mg/L,2003,11,625,232,982,Des Plaines River,-9796385.089554068,5113414.579669373
31,Lake-Cook Road,Middle Fork North Branch Chicago River at Lake-Cook Road,TDS,Total Dissolved Solids,mg/L,2003,9,666,528,1040,Middle Fork North Branch Chicago River,-9775428.966959778,5183330.473761027
32,Lake-Cook Road,Skokie River at Lake-Cook Road,TDS,Total Dissolved Solids,mg/L,2003,9,664,238,1166,Skokie River,-9773171.65434657,5183881.030230567
34,Dempster Street,North Branch Chicago River at Dempster Street,TDS,Total Dissolved Solids,mg/L,2003,13,1079,524,2502,North Branch Chicago River,-9772519.197048591,5167261.607014383
35,Central Street,North Shore Channel at Central Street,TDS,Total Dissolved Solids,mg/L,2003,9,282,174,566,North Shore Channel,-9761286.946422856,5170628.6171330195
36,Touhy Avenue,North Shore Channel at Touhy Avenue,TDS,Total Dissolved Solids,mg/L,2003,12,481,280,728,North Shore Channel,-9763880.193364626,5162772.158302309
37,Wilson Avenue,North Branch Chicago River at Wilson Avenue,TDS,Total Dissolved Solids,mg/L,2003,12,548,270,1008,North Branch Chicago River,-9762427.895694703,5155720.021993471
39,Madison Street,South Branch Chicago River at Madison Street,TDS,Total Dissolved Solids,mg/L,2003,11,488,282,982,South Branch Chicago River,-9755836.894673718,5143332.001117509
40,Damen Avenue,Chicago Sanitary and Ship Canal at Damen Avenue,TDS,Total Dissolved Solids,mg/L,2003,12,471,200,818,Chicago Sanitary and Ship Canal,-9759974.102935709,5137287.498239143
41,Harlem Avenue,Chicago Sanitary and Ship Canal at Harlem Avenue,TDS,Total Dissolved Solids,mg/L,2003,12,523,312,918,Chicago Sanitary and Ship Canal,-9774026.337077957,5131234.839862472
42,Route 83,Chicago Sanitary and Ship Canal at Route 83,TDS,Total Dissolved Solids,mg/L,2003,12,558,330,994,Chicago Sanitary and Ship Canal,-9789421.360370245,5116449.74955103
43,Route 83,Calumet-Sag Channel at Route 83,TDS,Total Dissolved Solids,mg/L,2003,11,589,178,898,Calumet-Sag Channel,-9789029.93158179,5115601.921870255
46,Grand Avenue,North Branch Chicago River at Grand Avenue,TDS,Total Dissolved Solids,mg/L,2003,12,597,350,1428,North Branch Chicago River,-9756156.248665709,5144758.297382973
48,Stephen Street,Chicago Sanitary and Ship Canal at Stephen Street,TDS,Total Dissolved Solids,mg/L,2003,12,586,356,952,Chicago Sanitary and Ship Canal,-9796052.154215598,5113077.68374999
49,Ewing Avenue,Calumet River at Ewing Avenue,TDS,Total Dissolved Solids,mg/L,2003,11,232,170,300,Calumet River,-9745075.86152176,5120263.120285954
50,Burnham Avenue ,Wolf Lake Drain at Burnham Avenue,TDS,Total Dissolved Solids,mg/L,2003,12,239,194,292,Wolf Lake Drain,-9744778.986089032,5110875.941051556
52,Wentworth Avenue,Little Calumet River at Wentworth Avenue,TDS,Total Dissolved Solids,mg/L,2003,10,800,348,1068,Little Calumet River,-9743762.861862704,5099049.677060608
54,Joe Orr Road,Thorn Creek at Joe Orr Road,TDS,Total Dissolved Solids,mg/L,2003,3,937,600,1568,Thorn Creek,-9754419.852949658,5089457.720876058
55,130th Street,Calumet River at 130th Street,TDS,Total Dissolved Solids,mg/L,2003,10,325,226,436,Calumet River,-9748530.69045206,5110104.230203494
56,Indiana Avenue,Little Calumet River at Indiana Avenue,TDS,Total Dissolved Solids,mg/L,2003,11,375,236,566,Little Calumet River,-9753472.181457821,5108772.571885121
57,Ashland Avenue,Little Calumet River at Ashland Avenue,TDS,Total Dissolved Solids,mg/L,2003,12,988,316,1600,Little Calumet River,-9758345.734333793,5108959.791525536
58,Ashland Avenue,Calumet-Sag Channel at Ashland Avenue,TDS,Total Dissolved Solids,mg/L,2003,12,585,258,912,Calumet-Sag Channel,-9758306.686186207,5109440.062465825
59,Cicero Avenue,Calumet-Sag Channel at Cicero Avenue,TDS,Total Dissolved Solids,mg/L,2003,11,609,370,858,Calumet-Sag Channel,-9766975.298081215,5109491.834437173
64,Lake Street,West Branch Du Page River at Lake Street,TDS,Total Dissolved Solids,mg/L,2003,12,592,386,1060,West Branch Du Page River,-9810939.89297938,5157781.364521299
73,Diversey Parkway,North Branch Chicago River at Diversey Parkway,TDS,Total Dissolved Solids,mg/L,2003,12,551,338,1390,North Branch Chicago River,-9760793.273420712,5150867.342273781
74,Lake Shore Drive,Chicago River at Lake Shore Drive,TDS,Total Dissolved Solids,mg/L,2003,10,309,146,914,Chicago River,-9753112.184339533,5144283.186382862
75,Cicero Avenue,Chicago Sanitary and Ship Canal at Cicero Avenue,TDS,Total Dissolved Solids,mg/L,2003,12,488,256,1122,Chicago Sanitary and Ship Canal,-9767527.508297497,5134013.305608013
76,Halsted Street,Little Calumet River at Halsted Street,TDS,Total Dissolved Solids,mg/L,2003,11,536,374,684,Little Calumet River,-9756147.689317683,5109826.122291395
77,Elmhurst Road,Higgins Creek at Elmhurst Road,TDS,Total Dissolved Solids,mg/L,2003,5,873,314,2240,Higgins Creek,-9789503.463971145,5164194.269628853
78,Wille Road,Higgins Creek at Wille Road,TDS,Total Dissolved Solids,mg/L,2003,12,666,328,1332,Higgins Creek,-9789066.534741784,5163778.873133089
79,Higgins Road,Salt Creek at Higgins Road,TDS,Total Dissolved Solids,mg/L,2003,9,656,358,1208,Salt Creek,-9797375.60963822,5165675.359292448
